inchikey	smiles	chembl_id	name
JFHROPTYMMSOLG-UHFFFAOYSA-N	COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1	CHEMBL570015	GSK-256066
LIOLIMKSCNQPLV-UHFFFAOYSA-N	CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F	CHEMBL3188267	CAPMATINIB
JRWCBEOAFGHNNU-UHFFFAOYSA-N	Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1	CHEMBL2133806	JNJ-38877605
IVYQPSHHYIAUFO-VXKWHMMOSA-N	CC(C)C[C@H](NC(=O)c1cc2ccccc2s1)C(=O)N1CCN(C(=O)[C@H](CO)NS(=O)(=O)c2ccc(Cl)cc2Cl)CC1	CHEMBL4461515	GSK1016790A
CCAWRGNYALGPQH-UHFFFAOYSA-N	O=C(Nc1cccc(C(F)(F)F)c1)Nc1cc(S(=O)(=O)NC2CC2)ccc1-c1ccsc1	CHEMBL3392845	AGI-6780
IIQUYGWWHIHOCF-UHFFFAOYSA-N	O=C(NCCO)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1	CHEMBL1257423	GNF-5
DZTGIRNXWSZBIM-QURGRASLSA-N	Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(N)cc1O	CHEMBL3086883	MS436
SDGJBAUIGHSMRI-UHFFFAOYSA-N	CCC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1	CHEMBL4303523	WZ4003
HNIFCPBQMKPRCX-UHFFFAOYSA-N	COCc1nnc(N2CC(Oc3ccc(F)cc3Cl)C2)n1-c1ccc(OC)nc1	CHEMBL594828	PF-3274167
FWLMVFUGMHIOAA-UHFFFAOYSA-N	CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)S(C)(=O)=O)n2)cc1	CHEMBL3137331	DEFACTINIB
HRJWTAWVFDCTGO-UHFFFAOYSA-N	O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2	CHEMBL362558	LY-2090314
QAPAJIZPZGWAND-UHFFFAOYSA-N	CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	CHEMBL1673046	XMD8-92
CAOSCCRYLYQBES-UHFFFAOYSA-N	O=C(O)CNC(=O)c1c(O)c2ccccc2n(Cc2ccccc2)c1=O	CHEMBL3186774	IOX2
FUIYMYNYUHVDPT-HDJSIYSDSA-N	CC1(C)Oc2ncnc(N)c2N=C1c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1	CHEMBL473967	T863
NBOJHRYUGLRASX-UHFFFAOYSA-N	O=C(Nc1cccnc1)N1CCC(Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1	CHEMBL1651524	PF-3845
CIWBSHSKHKDKBQ-JLAZNSOCSA-N	O=C1O[C@H]([C@@H](O)CO)C(O)=C1O	CHEMBL196	ASCORBIC ACID
DEEOXSOLTLIWMG-UHFFFAOYSA-N	COCCOc1ccc2c(c1)ncn2-c1ccc2cccc(N3CCC(N)CC3)c2n1	CHEMBL4303508	CP-673451
WRUWGLUCNBMGPS-UHFFFAOYSA-N	CCn1cc(-c2cccc(C(F)(F)F)c2)c2sc(C(=N)NC3CCS(=O)(=O)CC3)cc2c1=O	CHEMBL3769507	I-BRD9
