inchikey	portal_path	published_date	pains	toxicophore	cansar_id	rating_in_cell	rating_in_organism	rating_count	reference	source_id
YUYJEQHNWKQNBT-UHFFFAOYSA-N	unsuitables/lji308	2017-03-02	No	No	1868394	0	0	0		1081
OUKYUETWWIPKQR-UHFFFAOYSA-N	unsuitables/saracatinib	2017-03-02	No	No	766308	0	0	0		1082
WUUGFSXJNOTRMR-IOSLPCCCSA-N	unsuitables/5-methyl-thioadenosine	2017-03-07	No	No	1171526	0	0	0		1083
LMXOHSDXUQEUSF-YECHIGJVSA-N	unsuitables/sinefungin	2017-03-07	No	No	1823000	0	0	0		1084
IRSFLDGTOHBADP-UHFFFAOYSA-N	unsuitables/embelin	2017-03-07	Yes	Yes	1241811	0	0	0		1085
VCMMXZQDRFWYSE-UHFFFAOYSA-N	unsuitables/plumbagin	2017-03-07	Yes	Yes	30007	0	0	0		1086
FECGNJPYVFEKOD-VMPITWQZSA-N	unsuitables/resminostat	2017-03-07	No	Yes	1583363	0	0	0		1087
YALNUENQHAQXEA-UHFFFAOYSA-N	unsuitables/givinostat	2017-03-07	No	Yes	350456	0	0	0		1088
BWDQBBCUWLSASG-MDZDMXLPSA-N	unsuitables/dacinostat	2017-03-07	No	Yes	1902688	0	0	0		1089
IVTKCTFTVKYWIQ-WEVVVXLNSA-N	unsuitables/oxamflatin	2017-03-07	No	Yes	1496674	0	0	0		1090
MAUCONCHVWBMHK-UHFFFAOYSA-N	unsuitables/abexinostat	2017-03-07	No	Yes	256658	0	0	0		1091
NCNRHFGMJRPRSK-MDZDMXLPSA-N	unsuitables/belinostat	2017-03-07	No	Yes	1322821	0	0	0		1092
JHDKZFFAIZKUCU-ZRDIBKRKSA-N	unsuitables/pracinostat	2017-03-07	No	Yes	1718108	0	0	0		1093
JTDYUFSDZATMKU-UHFFFAOYSA-N	unsuitables/scriptaid	2017-03-07	No	Yes	1487542	0	0	0		1094
RTKIYFITIVXBLE-QEQCGCAPSA-N	unsuitables/trichostatin	2017-03-07	No	Yes	1317329	0	0	0		1095
MFBOGIVSZKQAPD-UHFFFAOYSA-M	unsuitables/butyrate	2017-03-07	No	No	1190	0	0	0		1096
NIJJYAXOARWZEE-UHFFFAOYSA-N	unsuitables/valproic-acid	2017-03-07	No	Yes	45378	0	0	0		1097
XHEFDIBZLJXQHF-UHFFFAOYSA-N	unsuitables/fisetin	2017-03-07	Yes	Yes	1234742	0	0	0		1098
CDRPUGZCRXZLFL-OWOJBTEDSA-N	unsuitables/piceatannol	2017-03-07	Yes	Yes	1066438	0	0	0		1099
NETXMUIMUZJUTB-UHFFFAOYSA-N	unsuitables/apabetalone	2017-03-07	No	No	1857922	0	0	0		1100
HUPFGZXOMWLGNK-UHFFFAOYSA-N	unsuitables/diflusinal	2017-03-20	No	No	1065883	0	0	0		1101
XGALLCVXEZPNRQ-UHFFFAOYSA-N	unsuitables/gefitinib	2017-03-21	No	No	337949	0	0	0		1102
AYMYWHCQALZEGT-ORCRQEGFSA-N	unsuitables/butein	2017-03-07	Yes	Yes	1166678	0	0	0		1103
DXDRHHKMWQZJHT-FPYGCLRLSA-N	unsuitables/isoliquiritigenin	2017-03-07	No	Yes	1116690	0	0	0		1104
KDPSGIFCBZTBEZ-UHFFFAOYSA-N	unsuitables/bic1	2017-03-07	No	Yes	1508966	0	0	0		1105
ZZZYHIMVKOHVIH-MWFXHRFLSA-N	unsuitables/brusatol	2017-03-17	No	Yes	720663	0	0	0		1106
QDKLRKZQSOQWJQ-SMDXAGPFSA-N	unsuitables/garcinol	2017-03-20	Yes	Yes	898879	0	0	0		1107
AJRGHIGYPXNABY-UHFFFAOYSA-N	unsuitables/pci-34051	2017-04-10	No	Yes	1358819	0	0	0		1108
JWOGUUIOCYMBPV-GMFLJSBRSA-N	unsuitables/apicidin	2017-04-11	No	No	902928	0	0	0		1109
VAZAPHZUAVEOMC-UHFFFAOYSA-N	unsuitables/ci-994	2017-04-11	No	Yes	1170255	0	0	0		1110
DLVJMFOLJOOWFS-VJIFSZOSSA-N	unsuitables/depudecin	2017-04-11	No	Yes	51775	0	0	0		1111
GNYCTMYOHGBSBI-KVUCBBCISA-N	unsuitables/hc-toxin	2017-04-11	No	Yes	3312889	0	0	0		1112
