id	inchikey	target_id	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_id	source_xref
665	KPBNHDGDUADAGP-VAWYXSNFSA-N	273	inhibitor	IC50		7.4	nM	cell	WST-1 Assay				179	daporinad
666	JFOAJUGFHDCBJJ-UHFFFAOYSA-N	228	inhibitor			7	nM	biochemical	Biochemical assay				180	nms-p715
667	JFOAJUGFHDCBJJ-UHFFFAOYSA-N	228	inhibitor	IC50		160	nM	cell	MSD (Meso Scale Discovery) Assay for TTK Autophosphorylation				180	nms-p715
668	JFOAJUGFHDCBJJ-UHFFFAOYSA-N	228	inhibitor	GI50		180	nM	cell	Cell proliferation assays				180	nms-p715
669	JFOAJUGFHDCBJJ-UHFFFAOYSA-N	228	inhibitor	IC50		32	nM	cell	Mitotic checkpoint override				180	nms-p715
670	FNYGWXSATBUBER-UHFFFAOYSA-N	68	inhibitor			70	nM	biochemical	NADPH consumption				181	agi-5198
671	FNYGWXSATBUBER-UHFFFAOYSA-N	68	inhibitor					cell	In TS603, TS676, and TS516 glioma cells, AGI-5198 showed a dose-dependent impact on R-2HG formation				181	agi-5198
672	WVAKRQOMAINQPU-UHFFFAOYSA-N	226	agonist			18.3	nM	binding	"A competitive binding assay using radioligand and NFAT-CHO cell membranes.  
IC50 = 6.9 and 2.4 nM for mouse and rat homologs"				182	ak120413
673	WVAKRQOMAINQPU-UHFFFAOYSA-N	226	agonist	EC50		47	nM	cell	"Aequorin bioluminescence assay
Emax 99%"				182	ak120413
674	NAXSRXHZFIBFMI-UHFFFAOYSA-N	327	agonist			125	nM	biochemical	LXRalpha/SRC1 LiSA.				183	gw3965
675	NAXSRXHZFIBFMI-UHFFFAOYSA-N	327	agonist	EC50		190	nM	cell					183	gw3965
676	NAXSRXHZFIBFMI-UHFFFAOYSA-N	384	agonist			125	nM	biochemical	LXRalpha/SRC1 LiSA.				183	gw3965
677	NAXSRXHZFIBFMI-UHFFFAOYSA-N	384	agonist	EC50		30	nM	cell					183	gw3965
678	RZXMIHOUHYSGJO-UHFFFAOYSA-N	87	inhibitor			3.3	nM	biochemical	Activity of human recombinant PAK4 (KD, kinase domain) protein assessed through measuring the phosphorylation of a FRET peptide substrate.				184	gne-2861
679	RZXMIHOUHYSGJO-UHFFFAOYSA-N	87	inhibitor	EC50		10	uM	cell	Cell viability in MDA-MB-436 and MCF10A PIK3CA (H1047R) cells. GNE-2861 dose-dependently inhibited cell migration in wound healing assays with the same cells (Essen Bioscience Incucyte platform).				184	gne-2861
680	RZXMIHOUHYSGJO-UHFFFAOYSA-N	591	inhibitor			3.3	nM	biochemical	Activity of human recombinant PAK4 (KD, kinase domain) protein assessed through measuring the phosphorylation of a FRET peptide substrate.				184	gne-2861
681	RZXMIHOUHYSGJO-UHFFFAOYSA-N	591	inhibitor	EC50		10	uM	cell	Cell viability in MDA-MB-436 and MCF10A PIK3CA (H1047R) cells. GNE-2861 dose-dependently inhibited cell migration in wound healing assays with the same cells (Essen Bioscience Incucyte platform).				184	gne-2861
682	RZXMIHOUHYSGJO-UHFFFAOYSA-N	571	inhibitor			3.3	nM	biochemical	Activity of human recombinant PAK4 (KD, kinase domain) protein assessed through measuring the phosphorylation of a FRET peptide substrate.				184	gne-2861
683	RZXMIHOUHYSGJO-UHFFFAOYSA-N	571	inhibitor	EC50		10	uM	cell	Cell viability in MDA-MB-436 and MCF10A PIK3CA (H1047R) cells. GNE-2861 dose-dependently inhibited cell migration in wound healing assays with the same cells (Essen Bioscience Incucyte platform).				184	gne-2861
684	ZDBWLRLGUBSLPG-FDHYQTMZSA-N	393	antagonist			6	nM	binding	competitive fluorescence polarization (FP) assay | 6 ± 2 nM				185	safit2
685	ZDBWLRLGUBSLPG-FDHYQTMZSA-N	393	antagonist	IC50		195.5	nM	cell	NanoBRET assay (FKBP12-NLuc): FKBP5 | 195.5 ± 14 nM				185	safit2
686	ZDBWLRLGUBSLPG-FDHYQTMZSA-N	393	antagonist	IC50	=	493	nM	cell	NanoBRET assay (FKBP51-NLuc): FKBP5 | IC50 = 493 ± 101 nM				185	safit2
687	KSGZCKSNTAJOJS-DZBMUNJRSA-N	543	inhibitor			100	nM	biochemical	immunoblot showing capture of native  CDK19 from MOLM-14 lysates				186	cortistatin
688	KSGZCKSNTAJOJS-DZBMUNJRSA-N	543	inhibitor	IC50	>=	25	nM	cell	Interferon-gamma-stimulated phosphorylation of STAT1-s727. | 25-100 nM				186	cortistatin
689	KSGZCKSNTAJOJS-DZBMUNJRSA-N	291	inhibitor			0.195	nM	biochemical	Probe displacement assay. CDK8–CCNC (0.62 nM) was preincubated with a reporter probe at a concentration equal to its binding affinity (Kd). After transfer of serially diluted cortistatin A, probe displacement was monitored for 60 min. Kd values were calculated using the Cheng–Prusoff equation from the IC50 values obtained from the percentage displacement values at the last time point measured.				186	cortistatin
690	KSGZCKSNTAJOJS-DZBMUNJRSA-N	291	inhibitor			12	nM	biochemical	kinase activity inhibition				186	cortistatin
691	KSGZCKSNTAJOJS-DZBMUNJRSA-N	291	inhibitor			10	nM	biochemical	immunoblot showing capture of native  CDK8 from MOLM-14 lysates				186	cortistatin
692	KSGZCKSNTAJOJS-DZBMUNJRSA-N	291	inhibitor	IC50	>=	25	nM	cell	Interferon-gamma-stimulated phosphorylation of STAT1-s727. | 25-100 nM				186	cortistatin
693	JLFSBHQQXIAQEC-UHFFFAOYSA-N	131	inhibitor			1	nM	biochemical	Trevigen ELISA assay				187	e7449
694	JLFSBHQQXIAQEC-UHFFFAOYSA-N	131	inhibitor					cell	"DT40 cells lacking PARP proteins or other DNA repair proteins are resistant to E7449.
In SW480 cells, E7449 dose-dependently stabilized axin2, TNKS, and TNKS2, and decreased beta-catenin activation."				187	e7449
695	JLFSBHQQXIAQEC-UHFFFAOYSA-N	600	inhibitor			1.2	nM	biochemical	Trevigen ELISA assay				187	e7449
696	JLFSBHQQXIAQEC-UHFFFAOYSA-N	600	inhibitor					cell	"DT40 cells lacking PARP proteins or other DNA repair proteins are resistant to E7449.
In SW480 cells, E7449 dose-dependently stabilized axin2, TNKS, and TNKS2, and decreased beta-catenin activation."				187	e7449
697	JLFSBHQQXIAQEC-UHFFFAOYSA-N	80	inhibitor			115	nM	biochemical	Trevigen ELISA assay				187	e7449
698	JLFSBHQQXIAQEC-UHFFFAOYSA-N	80	inhibitor					cell	"DT40 cells lacking PARP proteins or other DNA repair proteins are resistant to E7449.
In SW480 cells, E7449 dose-dependently stabilized axin2, TNKS, and TNKS2, and decreased beta-catenin activation."				187	e7449
699	JLFSBHQQXIAQEC-UHFFFAOYSA-N	556	inhibitor					cell	"DT40 cells lacking PARP proteins or other DNA repair proteins are resistant to E7449.
In SW480 cells, E7449 dose-dependently stabilized axin2, TNKS, and TNKS2, and decreased beta-catenin activation."				187	e7449
700	FWLMVFUGMHIOAA-UHFFFAOYSA-N	360	inhibitor			0.2	nM	biochemical	Binding versus recombinant human enzyme kinase domain				188	defactinib
701	FWLMVFUGMHIOAA-UHFFFAOYSA-N	360	inhibitor	IC50		3	nM	cell	Inhibits PTK2 phosphorylation in A431 cells				188	defactinib
702	FWLMVFUGMHIOAA-UHFFFAOYSA-N	409	inhibitor			0.2	nM	biochemical	Binding versus recombinant human enzyme kinase domain				188	defactinib
703	XYFPWWZEPKGCCK-GOSISDBHSA-N	363	covalent inhibitor			0.5	nM	biochemical	IC50s were measured using 33P filtration binding assay				189	ibrutinib
704	XYFPWWZEPKGCCK-GOSISDBHSA-N	363	covalent inhibitor	IC50		11	nM	cell	inhibits autophosphorylation of Btk				189	ibrutinib
705	XYFPWWZEPKGCCK-GOSISDBHSA-N	363	covalent inhibitor	IC50		29	nM	cell	inhibition of phosphorylation of Btk's physiological substrate PLCγ				189	ibrutinib
706	XYFPWWZEPKGCCK-GOSISDBHSA-N	363	covalent inhibitor	IC50		13	nM	cell	inhibition of phosphorylation of downstream kinase ERK				189	ibrutinib
707	LLVZBTWPGQVVLW-SNAWJCMRSA-N	105	inhibitor			3	nM	biochemical	In vitro kinase assay with intracellular domain				190	cp-724714
708	LLVZBTWPGQVVLW-SNAWJCMRSA-N	105	inhibitor	IC50		32	nM	cell	Protein substrate phosphorylation in transfected NIH 3T3 cells				190	cp-724714
709	GJFCSAPFHAXMSF-UXBLZVDNSA-N	275	covalent inhibitor			14.7	nM	biochemical	In vitro kinase assay				191	jnk-in-8
710	GJFCSAPFHAXMSF-UXBLZVDNSA-N	276	covalent inhibitor			18.7	nM	biochemical	In vitro kinase assay				191	jnk-in-8
711	GJFCSAPFHAXMSF-UXBLZVDNSA-N	276	covalent inhibitor	IC50		338	nM	cell	In A375 cells, JNK-IN-8 inhibited phosphorylation of protein substrates				191	jnk-in-8
712	GJFCSAPFHAXMSF-UXBLZVDNSA-N	323	covalent inhibitor			1	nM	biochemical	In vitro kinase assay				191	jnk-in-8
713	GJFCSAPFHAXMSF-UXBLZVDNSA-N	323	covalent inhibitor	IC50		486	nM	cell	In HeLa cells, JNK-IN-8 inhibited phosphorylation of protein substrates				191	jnk-in-8
714	PNYRDVBFYVDJJI-UHFFFAOYSA-N	576	inhibitor			15	nM	binding	Scintillation proximity assay				192	lly-507
715	PNYRDVBFYVDJJI-UHFFFAOYSA-N	576	inhibitor	IC50		0.6	uM	cell	Protein substrate methylation assay in SMYD2-overexpressing U2OS cells with substrate methylation detected by ELISA.				192	lly-507
716	VUVUVNZRUGEAHB-CYBMUJFWSA-N	55	antagonist			790	nM	biochemical	IC50 was measured in ligand-displacement assay				193	i-bet151
717	VUVUVNZRUGEAHB-CYBMUJFWSA-N	55	antagonist			100	nM	binding	SPR				193	i-bet151
718	VUVUVNZRUGEAHB-CYBMUJFWSA-N	55	antagonist	IC50		160	nM	cell	Inhibition of IL-6 production in PBMCs or whole blood (IC50 = 1.26 uM).				193	i-bet151
719	VUVUVNZRUGEAHB-CYBMUJFWSA-N	192	antagonist			500	nM	biochemical	IC50 was measured in ligand-displacement assays				193	i-bet151
720	VUVUVNZRUGEAHB-CYBMUJFWSA-N	192	antagonist			20	nM	binding	SPR				193	i-bet151
721	VUVUVNZRUGEAHB-CYBMUJFWSA-N	192	antagonist	IC50		1260	nM	cell	Inhibition of IL-6 production in PBMCs or whole blood (IC50 = 1.26 uM).				193	i-bet151
722	VUVUVNZRUGEAHB-CYBMUJFWSA-N	416	antagonist			250	nM	biochemical	IC50 were measured in ligand-displacement assay				193	i-bet151
723	ALGHKWSXJUQNJJ-UHFFFAOYSA-N	252	agonist	Ki		2.7	nM	cell	Radioligand binding assay				194	adl-5747
724	ALGHKWSXJUQNJJ-UHFFFAOYSA-N	252	agonist	EC50		94	nM	cell	Receptor-Mediated [35S]GTPγS Binding				194	adl-5747
725	QPTCYEYTAWEZNT-UHFFFAOYSA-N	280	inverse agonist			7.5	nM	binding	Radioligand Binding				195	ucsf7447
726	QPTCYEYTAWEZNT-UHFFFAOYSA-N	280	inverse agonist	EC50		41	nM	cell	Glo cAMP assay				195	ucsf7447
727	HNCVDRFFJZJQRW-UHFFFAOYSA-N	581	inhibitor			25	nM	biochemical	MG (Malachite Green) assay dGDP				196	th1760
728	HNCVDRFFJZJQRW-UHFFFAOYSA-N	581	inhibitor			57	nM	biochemical	MG (Malachite Green) assay 6-thio-dGTP				196	th1760
729	HNCVDRFFJZJQRW-UHFFFAOYSA-N	581	inhibitor	ΔTm		7	degC	cell	CETSA/Western Blot, DARTS assay				196	th1760
730	KSERXGMCDHOLSS-LJQANCHMSA-N	202	inhibitor			0.3	nM	biochemical	ERK2 biochemical assay				197	ulixertinib
731	KSERXGMCDHOLSS-LJQANCHMSA-N	202	inhibitor	IC50		140	nM	cell	Mechanism of action (MOA) assay was measured by the levels of phosphorylated ERK2 (pERK) and of the phosphorylation of the downstream kinase RSK (pRSK) in an A375 melanoma cell line containing a b-RAFV600E mutation.				197	ulixertinib
732	KSERXGMCDHOLSS-LJQANCHMSA-N	202	inhibitor	EC50		180	nM	cell	Cell Proliferation assay 1				197	ulixertinib
733	KSERXGMCDHOLSS-LJQANCHMSA-N	196	inhibitor			0.3	nM	biochemical	ERK1 biochemical assay				197	ulixertinib
734	BIAVGWDGIJKWRM-FQEVSTJZSA-N	208	antagonist			1	nM	biochemical	Inhibition of [3H]-senktide binding on hNK-3r-CHO cell membranes				198	talnetant
735	BIAVGWDGIJKWRM-FQEVSTJZSA-N	208	antagonist			1.6	nM	biochemical	Senktide-induced contraction in isolated rabbit iris sphincter muscle | 1.6 ± 0.53 nM				198	talnetant
736	BIAVGWDGIJKWRM-FQEVSTJZSA-N	208	antagonist	IC50		16.6	nM	cell	Ca++ mobilization assay | 16.6 ± 1.6 nM				198	talnetant
737	WRCGBYNVBFVRTN-UHFFFAOYSA-N	642	inhibitor			1.5	nM	binding	ITC				199	bo-264
738	WRCGBYNVBFVRTN-UHFFFAOYSA-N	642	inhibitor	IC50		190	nM	cell	Cell viability was measured by SRB assay				199	bo-264
739	WRCGBYNVBFVRTN-UHFFFAOYSA-N	642	inhibitor	IC50		130	nM	cell	Cell viability was measured by SRB assay				199	bo-264
740	WRCGBYNVBFVRTN-UHFFFAOYSA-N	642	inhibitor	activity		1	uM	cell	Cellular Thermal Shift Assay				199	bo-264
741	XNULRSOGWPFPBL-REWPJTCUSA-N	124	antagonist			0.755	nM	biochemical	serum-free functional reporter assay utilizing the human MR ligand-binding domain				200	pf-03882845
742	XNULRSOGWPFPBL-REWPJTCUSA-N	124	antagonist			2.7	nM	binding	Radioligand binding assay				200	pf-03882845
743	XNULRSOGWPFPBL-REWPJTCUSA-N	124	antagonist	IC50		9.2	nM	cell	MR Luciferase Reporter Antagonist Assay using a Gal4-MRLBD construct and a luciferase reporter under Gal4 control				200	pf-03882845
744	ADZBMFGQQWPHMJ-RHSMWYFYSA-N	113	inhibitor			1	nM	biochemical	Biochemical assay				201	sotuletinib
745	ADZBMFGQQWPHMJ-RHSMWYFYSA-N	113	inhibitor	EC50		67	nM	cell	Inhibition of CSF-1–dependent proliferation				201	sotuletinib
746	ADZBMFGQQWPHMJ-RHSMWYFYSA-N	113	inhibitor	activity		67	nM	cell	Western blot of CSF-1R phosphorylation (Y721)				201	sotuletinib
747	KYOIGHSNTIJBPW-UHFFFAOYSA-N	448	inhibitor					biochemical	Click-ELISA assay using alkyne-tagged palmitoyl CoA substrate				202	ruski-201
748	KYOIGHSNTIJBPW-UHFFFAOYSA-N	448	inhibitor	IC50		0.73	uM	cell	In SILAC based proteomic experiment, RUSKI-201 selectively inhibited Hh ligand palmitoylation. In alkyne-tagged palmitic acid (YnPal) experiments, RUSKI-201 inhibited Shh tagging with TC50=0.87 uM.				202	ruski-201
749	ILOIOIGZFHGSMS-UHFFFAOYSA-N	450	inhibitor			4.7	nM	binding	Competitive radioligand displacement				203	ol-135
750	ILOIOIGZFHGSMS-UHFFFAOYSA-N	450	inhibitor			13.4	nM	biochemical	Competitive ABPP assay				203	ol-135
751	ILOIOIGZFHGSMS-UHFFFAOYSA-N	450	inhibitor	EC50		450	nM	cell	FAAH inhibition was determined through quantitation of 1- 3H-ethanolamine by scintillation counting				203	ol-135
752	ILOIOIGZFHGSMS-UHFFFAOYSA-N	9	inhibitor			206	nM	biochemical	Radiolabelled oleamide substrate assay				203	ol-135
753	FROGGFONBYACJB-KRWDZBQOSA-N	42	inhibitor	IC50		70	nM	cell	Automated electrophysiology assay (Patch Clamp assay)				204	ml252
754	UQZCQKXJAXKZQH-LBPRGKRZSA-N	463	inhibitor		<	3	nM	biochemical	Probe displacement assay				205	rbn-2397
755	UQZCQKXJAXKZQH-LBPRGKRZSA-N	463	inhibitor			0.22	nM	binding	SPR  (ka = 1.65 × 105 (1/Ms), kd = 3.56 × 10-5 (1/s) and t1/2 = 325 min)				205	rbn-2397
756	UQZCQKXJAXKZQH-LBPRGKRZSA-N	463	inhibitor	IC50		1	nM	cell	NanoBRET				205	rbn-2397
757	UQZCQKXJAXKZQH-LBPRGKRZSA-N	463	inhibitor	IC50		2	nM	cell	MARylation Inhibition				205	rbn-2397
758	UQZCQKXJAXKZQH-LBPRGKRZSA-N	463	inhibitor	activity		100	nM	cell	STAT1 phosphorylation				205	rbn-2397
759	JZCWLJDSIRUGIN-UHFFFAOYSA-N	396	inhibitor			0.2	nM	biochemical	radiometric assay				206	berzosertib
760	JZCWLJDSIRUGIN-UHFFFAOYSA-N	396	inhibitor	IC50		19	nM	cell	Immunoblot for Chk1 phosphorylation (Ser 345) in cell lysates				206	berzosertib
761	LCFFREMLXLZNHE-GBOLQPHISA-N	363	covalent inhibitor			1.3	nM	biochemical	Biochemical assay using the Caliper electrophoresis method				207	rilzabrutinib
762	LCFFREMLXLZNHE-GBOLQPHISA-N	363	covalent inhibitor			84	%	biochemical	Biochemical occupancy was determined at room temperature by a FRET-based fluorescence competition assay where 1.5 μM compound was preincubated with BTK for 15 min				207	rilzabrutinib
763	LCFFREMLXLZNHE-GBOLQPHISA-N	363	covalent inhibitor	IC50		123	nM	cell	Human whole blood (HWB) IC50 was evaluated by inhibition of CD69 surface expression following anti-IgM stimulation from at least two measurements unless noted				207	rilzabrutinib
764	LCFFREMLXLZNHE-GBOLQPHISA-N	363	covalent inhibitor			60	%	cell	Cellular occupancy was determined at 37 °C using an ALPHAlisa-based occupancy assay in Ramos cells				207	rilzabrutinib
765	FUIYMYNYUHVDPT-HDJSIYSDSA-N	69	inhibitor			15	nM	biochemical	Biochemical assay				208	t863
766	FUIYMYNYUHVDPT-HDJSIYSDSA-N	69	inhibitor	IC50		4	nM	cell	Inhibition of triacylglycerol synthesis in human HuTu 80 cells				208	t863
767	XOPYFXBZMVTEJF-PDACKIITSA-N	114	inhibitor			6500	nM	biochemical	In vitro calf brain tubulin polymerization assays,				209	eleutherobin
768	XOPYFXBZMVTEJF-PDACKIITSA-N	114	inhibitor	EC50		2000	nM	cell	Displacement of 3H-taxol				209	eleutherobin
769	GRTDDIZIUSADLD-CRAIPNDOSA-N	95	inhibitor			0.4	nM	biochemical	Recombinant Human Renin Inhibition Assay (Fluorescence Resonance Energy Transfer [FRET])				210	sph3127
770	GRTDDIZIUSADLD-CRAIPNDOSA-N	95	inhibitor	IC50		0.45	nM	cell	Plasma Renin Activity Assay (competitive radioimmunoassay)				210	sph3127
771	OXQNLLVUVDAEHC-OAQYLSRUSA-N	313	activator	EC50		260	nM	cell	Electrophysiological assay using the population patch clamp mode on the IonWorks Quattro™.				211	ml277
772	OXQNLLVUVDAEHC-OAQYLSRUSA-N	313	activator	activity		265.9	%	cell	Percent increase in KCNQ1 currents recorded at +40 mV at saturating compound concentrations in dose-response experiments for each compound				211	ml277
773	PKNYXWMTHFMHKD-UHFFFAOYSA-N	369	agonist			6	nM	biochemical	Activity on the human PPAR subtypes in vitro				212	gw7647
774	PKNYXWMTHFMHKD-UHFFFAOYSA-N	369	agonist			51.8	nM	biochemical	PPARA activation TR-FRET				212	gw7647
775	PKNYXWMTHFMHKD-UHFFFAOYSA-N	369	agonist					cell	Lipid transport processes enrichment				212	gw7647
776	PKNYXWMTHFMHKD-UHFFFAOYSA-N	369	agonist	activity		600	nM	cell	increase of p16 mRNA and protein levels				212	gw7647
777	HRJWSEPIRZRGCL-UHFFFAOYSA-N	578	antagonist			37.9	nM	binding	Radioligand displacement of [3H]-LTD4 bound to the CysLT2 in lysates of CHO cells stably expressing the human CysLT2 | 37.9 ± 14.7 nM				213	hami3379
778	HRJWSEPIRZRGCL-UHFFFAOYSA-N	578	antagonist	IC50	>=	3.8	nM	cell	inhibition of 10 nM LTD4- and LTC4-induced (∼EC80–90) intracellular calcium release in the CysLT2 receptor cell line | 3.8-4.4 nM				213	hami3379
779	KBFUQFVFYYBHBT-UHFFFAOYSA-N	37	inhibitor	Kd		20	nM	cell	Blocked current in whole Cells (patch-clamp assay)				214	tram-34
780	KBFUQFVFYYBHBT-UHFFFAOYSA-N	37	inhibitor	EC50	>=	295	nM	cell	TRAM-34 suppresses reactivation of lymphocytes by anti-CD3 Ab or with a combination of the PKC-activator PMA and calcium-ionophore ionomycin | 295-910 nM				214	tram-34
781	KBFUQFVFYYBHBT-UHFFFAOYSA-N	37	inhibitor	Kd		22	nM	cell	Patch clamp assay				214	tram-34
782	OYUDYQMFVRHPIY-UHFFFAOYSA-N	233	partial activator			29	nM	biochemical	Enzymatic GK activation assay using purified recombinant human islet GK | 29 nM				215	bms-820132
783	OYUDYQMFVRHPIY-UHFFFAOYSA-N	233	partial activator			143	%	biochemical	Enzymatic GK activation assay using purified recombinant human islet GK | max activation 143%				215	bms-820132
784	USHQRIKZLHNPQR-JTQLQIEISA-N	146	modulator	EC50		79	nM	cell	"CFTR Membrane Potential Assay
F508del EC50 79 ± 52 nM (92%), 	
G551D EC50 497 ± 198 nM (40%)	
WT EC50 113 ± 45 nM (79%)"				216	icenticaftor
785	USHQRIKZLHNPQR-JTQLQIEISA-N	146	modulator	EC50		47	nM	cell	CFTR Ion Works Quattro Assay 96% efficacy				216	icenticaftor
786	USHQRIKZLHNPQR-JTQLQIEISA-N	146	modulator	EC50		39	nM	cell	"CFTR Ion Transport Assays with Primary HBEC
F508del EC50 39 ± 22 nM (84%)
WT EC50 72 ± 45 nM (87%)"				216	icenticaftor
787	PQUGCKBLVKJMNT-UHFFFAOYSA-N	179	inhibitor			9	nM	biochemical	Biochemical assay using recombinant COX-1 and arachidonic acid				217	sc-560
788	WWOOWAHTEXIWBO-QFRSUPTLSA-N	17	inhibitor			22	nM	biochemical	Radioactivity-based assay assessing methylation of an H4R3 derived peptide substrate | 22 ± 3 nM				218	lly-283
789	WWOOWAHTEXIWBO-QFRSUPTLSA-N	17	inhibitor			6	nM	binding	Surface Plasmon Resonance (SPR | 6 ± 2 nM				218	lly-283
790	WWOOWAHTEXIWBO-QFRSUPTLSA-N	17	inhibitor	IC50		25	nM	cell	SmBB′-Rme2s levels change determined by Western blot after 3 days of compound treatment | 25 ± 1 nM				218	lly-283
791	WWOOWAHTEXIWBO-QFRSUPTLSA-N	17	inhibitor	EC50		37	nM	cell	splicing of MDM4 in qPCR assay | 37 ± 3 nM				218	lly-283
792	WWOOWAHTEXIWBO-QFRSUPTLSA-N	17	inhibitor	IC50		46	nM	cell	Cell titer Glo assay | 46 ± 5 nM				218	lly-283
793	WULUGQONDYDNKY-UHFFFAOYSA-N	291	inhibitor			0.77	nM	biochemical	Biochemical assay				219	bi-1347
794	WULUGQONDYDNKY-UHFFFAOYSA-N	291	inhibitor	EC50		5	nM	cell	tau aggregation assay in cell				219	bi-1347
795	WULUGQONDYDNKY-UHFFFAOYSA-N	291	inhibitor	IC50		3	nM	cell	Inhibition of pSTAT S727				219	bi-1347
796	WULUGQONDYDNKY-UHFFFAOYSA-N	291	inhibitor	EC50		10	nM	cell	Secretion of Perforin				219	bi-1347
797	WULUGQONDYDNKY-UHFFFAOYSA-N	543	inhibitor			1.7	nM	biochemical	Selectivity assay, Invitrogen				219	bi-1347
798	CJAQCMBWGUOBIX-ZUQRMPMESA-M	457	antagonist	IC50		22.1	nM	cell	NPS-induced cAMP response				220	ml154
799	CJAQCMBWGUOBIX-ZUQRMPMESA-M	457	antagonist	IC50		36.5	nM	cell	NPS-induced calcium response				220	ml154
800	CJAQCMBWGUOBIX-ZUQRMPMESA-M	457	antagonist	IC50		9.3	nM	cell	NPS-induced ERK phosphorylation inhibition				220	ml154
801	CJAQCMBWGUOBIX-ZUQRMPMESA-M	457	antagonist	IC50		5	nM	cell	Radioligand displacement of  125I-NPS				220	ml154
802	YEVOZZZLKJKCCD-UHFFFAOYSA-N	445	inhibitor			20.3	nM	biochemical	Biochemical inhibition of WT GST-LRRK2 in the presence of 100 μM ATP.				221	hg-10-102-01
803	YEVOZZZLKJKCCD-UHFFFAOYSA-N	445	inhibitor			3.2	nM	biochemical	Biochemical inhibition of G2019S GST-LRRK2 in the presence of 100 μM ATP.				221	hg-10-102-01
804	YEVOZZZLKJKCCD-UHFFFAOYSA-N	445	inhibitor			153.7	nM	biochemical	Biochemical inhibition of A2016T GST-LRRK2 in the presence of 100 μM ATP.				221	hg-10-102-01
805	YEVOZZZLKJKCCD-UHFFFAOYSA-N	445	inhibitor			95.9	nM	biochemical	Biochemical inhibition of G2019S-A2016T GST-LRRK2 in the presence of 100 μM ATP.				221	hg-10-102-01
806	YEVOZZZLKJKCCD-UHFFFAOYSA-N	445	inhibitor			1	uM	cell	Determination of phosphorylation of Ser910 and Ser935 | 1 µM for wild-type LRRK2				221	hg-10-102-01
807	YEVOZZZLKJKCCD-UHFFFAOYSA-N	445	inhibitor			0.3	uM	cell	Determination of phosphorylation of Ser910 and Ser935 | 0.3 μM for LRRK2[G2019S]				221	hg-10-102-01
808	YEVOZZZLKJKCCD-UHFFFAOYSA-N	445	inhibitor		>=	1	uM	cell	Determination of phosphorylation of Ser910 and Ser935 | 1–3 μM in the drug-resistant LRRK2[A2016T + G2019S]				221	hg-10-102-01
809	YEVOZZZLKJKCCD-UHFFFAOYSA-N	445	inhibitor	% inhibition		0.3	uM	cell	dephosphorylation of endogenous LRRK2 at Ser910 and Ser935				221	hg-10-102-01
810	PRNXOFBDXNTIFG-FQEVSTJZSA-N	324	inhibitor			1.6	nM	binding	Scintillation proximity assay on cell membranes				222	azd3965
811	PRNXOFBDXNTIFG-FQEVSTJZSA-N	324	inhibitor			3.2	nM	biochemical	AZD3965 binding affinity to yeast membranes expressing recombinant human MCT1 by displacement of [3H]-MCT1				222	azd3965
812	PRNXOFBDXNTIFG-FQEVSTJZSA-N	324	inhibitor	IC50		5.12	nM	cell	Inhibition of lactate transport in cells				222	azd3965
813	PRNXOFBDXNTIFG-FQEVSTJZSA-N	324	inhibitor	GI50		12.35	nM	cell	Cell proliferation assay				222	azd3965
814	PQOOIERVZAXHBP-UHFFFAOYSA-N	513	inhibitor			120	nM	binding	ITC				223	unc1215
815	PQOOIERVZAXHBP-UHFFFAOYSA-N	513	inhibitor			40	nM	biochemical	Alpha screen methylated histone peptide competition assay				223	unc1215
816	PQOOIERVZAXHBP-UHFFFAOYSA-N	513	inhibitor	EC50	>=	50	nM	cell	FRAP assay | 50-100 nM				223	unc1215
817	COOGVHJHSCBOQT-MRVPVSSYSA-N	557	antagonist			12.5	nM	biochemical	Binding assay with membranes from cells transfected with the receptor				224	jnj-39758979
818	COOGVHJHSCBOQT-MRVPVSSYSA-N	557	antagonist		=	7.9		cell	Cell-Based cAMP Assay				224	jnj-39758979
819	DLNFTRSEHUWEGO-HUUCEWRRSA-N	76	inhibitor			31	nM	biochemical	GAC (GLS) Enzyme activity assay				225	a-446
820	DLNFTRSEHUWEGO-HUUCEWRRSA-N	76	inhibitor	IC50		11	nM	cell	CTG assay in A549 cells				225	a-446
821	LIIWIMDSZVNYHY-UHFFFAOYSA-N	595	inhibitor			1.7	nM	biochemical	Enzyme assay with recombinant enzyme				226	acy-738
822	LIIWIMDSZVNYHY-UHFFFAOYSA-N	595	inhibitor					cell	In RN46A-B12 cells, ACY-738 (2.5 uM) increased acetylation of alpha-tubulin at K40 as detected by western blot.				226	acy-738
823	PDMXSCCBEBCTGX-UHFFFAOYSA-N	361	inhibitor			2	nM	biochemical	In vitro colorimetric HSL assay using human HSL fractions and p-nitrophenyl butyrate (PNPB) as a substrate.				227	hsl-in-1
824	QBIGUDRHHJTXKG-UUWRZZSWSA-N	307	inverse agonist			5.3	nM	biochemical	Binding to RORC ligand-binding domain (ThermoFluor Binding Assay)				228	jnj-54119936
825	QBIGUDRHHJTXKG-UUWRZZSWSA-N	307	inverse agonist	IC50		332	nM	cell	Human whole blood assay				228	jnj-54119936
826	QBIGUDRHHJTXKG-UUWRZZSWSA-N	307	inverse agonist	IC50		30	nM	cell	One-hybrid LBD				228	jnj-54119936
