id	inchikey	target_id	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_id	source_xref
3148	FZJKQMONKPFLEO-NZIMVQFPSA-N	348	degrader (protac)	Dmax		96	%	cell	Degradation of MDM2 followed by Western Blot over 2h				839	md-4251
3149	FZJKQMONKPFLEO-NZIMVQFPSA-N	348	degrader (protac)	IC50		1	nM	cell	Growth inhibition assay				839	md-4251
3150	JFHROPTYMMSOLG-UHFFFAOYSA-N	366	inhibitor			0.079	nM	binding	Scintillation Proximity Assay (SPA)				840	gsk256066
3151	JFHROPTYMMSOLG-UHFFFAOYSA-N	366	inhibitor	IC50		0.01	nM	cell	Inhibition of LPS induced TNF-α production from isolated human peripheral blood mononuclear cells (PBMC) using IGEN technology				840	gsk256066
3152	JFHROPTYMMSOLG-UHFFFAOYSA-N	366	inhibitor	IC50		0.12	nM	cell	Inhibition of LPS induced TNF-α production from isolated human whole blood using IGEN technology				840	gsk256066
3153	BZJPCUQQPJJBTP-FGZHOGPDSA-N	550	agonist	EC50		47	nM	cell	hGPR88 Gi1 BRET assay with Emax 110%				841	bi-9508
3154	OLAGZWUBPYQCBR-JSKJCRAUSA-N	466	degrader (protac)			341	nM	biochemical	Methyltransferase assay showing inhibition of the METTL3/14 complex				842	kh12
3155	OLAGZWUBPYQCBR-JSKJCRAUSA-N	466	degrader (protac)	DC50		220	nM	cell	METTL3 is degraded by over 50 % and 90 % at 4 and 24 h, respectively (detected by Western blot).				842	kh12
3156	OLAGZWUBPYQCBR-JSKJCRAUSA-N	466	degrader (protac)					cell					842	kh12
3157	OLAGZWUBPYQCBR-JSKJCRAUSA-N	466	degrader (protac)	IC50		1040	nM	cell	Anti-proliferative asay				842	kh12
3158	KVDLSQZBDWJNSG-VINRIKPSSA-N	397	degrader (protac)	Dmax	~	100	%	cell	Western blot analysis evaluating RIPK1 degradation after 6 h incubation				843	r1-icr-5
3159	KVDLSQZBDWJNSG-VINRIKPSSA-N	397	degrader (protac)	DC50	~	50	nM	cell	Western blot analysis evaluating RIPK1 degradation after 6 h incubation				843	r1-icr-5
3160	KVDLSQZBDWJNSG-VINRIKPSSA-N	397	degrader (protac)	DC50		50	nM	cell	HT1080 cells (ATCC) stably expressing Dox-inducible RIPK1ΔRHIMΔDD-HiBiT in a bioluminescence-based assay.				843	r1-icr-5
3161	KVDLSQZBDWJNSG-VINRIKPSSA-N	397	degrader (protac)	Dmax		101	%	cell	HT1080 cells (ATCC) stably expressing Dox-inducible RIPK1ΔRHIMΔDD-HiBiT in a bioluminescence-based assay				843	r1-icr-5
3162	ISQCXAWAHDJCRH-FKDRFZFOSA-N	348	degrader (protac)	IC50		2	nM	cell	Cell proliferation assay				844	md-265
3163	ISQCXAWAHDJCRH-FKDRFZFOSA-N	348	degrader (protac)	Dmax		100	%	cell	Assessed via western blot				844	md-265
