inchikey	smiles	name
KSOVGRCOLZZTPF-UHFFFAOYSA-N	Cc1cc(Nc2ncc(F)c(NC3C4C=CC(C4)C3C(N)=O)n2)ccc1N1CCN(C)CC1	Kinome_635
ZVWRFVCNQOECJS-UHFFFAOYSA-N	Cc1cnc(Nc2cccc(S(N)(=O)=O)c2)nc1Nc1ccc(OCC(N)=O)cc1	Kinome_1202
VADOZMZXXRBXNY-UHFFFAOYSA-N	CN1CCN(c2ccc(Nc3ncc4cc(C#N)c(=O)n(C5CCCC5)c4n3)cc2)CC1	CHEMBL3115681
UIARLYUEJFELEN-LROUJFHJSA-N	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O	Lestaurtinib
BSFNGHCTZDCQBF-UHFFFAOYSA-N	NC(COc1cncc(-c2ccc3c(c2)C(=Cc2ccco2)C(=O)N3)c1)Cc1c[nH]c2ccccc12	Kinome_1901
LYNBNVBMAGDJRW-UHFFFAOYSA-N	O=C(O)c1ccccc1Nc1ccnc(Nc2cccc(O)c2)n1	4-anilinopyrimidine 8c
GCYXEGSPUDSZJY-PTNGSMBKSA-N	O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1	Gw8510
YMIJUBCSOKSFRU-UHFFFAOYSA-N	O=C(O)c1ccccc1Nc1ccnc(Nc2ccc3cn[nH]c3c2)n1	4-anilinopyrimidine 15a
KLBQZWRITKRQQV-UHFFFAOYSA-N	CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2	Thioridazine
GPSZYOIFQZPWEJ-UHFFFAOYSA-N	Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1	CYC-116
BIIVYFLTOXDAOV-YVEFUNNKSA-N	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	Flavopiridol
OUSFTKFNBAZUKL-UHFFFAOYSA-N	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1	BMS-387032
JPYQFPGTGGLOMD-UHFFFAOYSA-N	NC(=O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	CHEMBL1649761
BQDHCGJUSXMIIS-UHFFFAOYSA-N	COc1cc(Nc2ncc([N+](=O)[O-])c(Nc3ccccc3C(N)=O)n2)cc(OC)c1OC.Cl	SCHEMBL3814469
AFSDNFLWKVMVRB-UHFFFAOYSA-N	O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23	Ellagic acid
AYQYIBVVCJFCAE-KSEXSDGBSA-N	CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C\Cc1ccc(Cc2cc(C)c(C)cc2[N+](=O)[O-])o1	C646
XHBVYDAKJHETMP-UHFFFAOYSA-N	c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1	Dorsomorphin
XSMSNFMDVXXHGJ-UHFFFAOYSA-N	c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1	Entospletinib
SHPFDGWALWEPGS-UHFFFAOYSA-N	COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)NC(C)c1nccs1	Ki-20227
MLKHXLFEYOOYEY-NVNXTCNLSA-N	Cn1cc(/C=C2\C(=O)Nc3ccc(S(N)(=O)=O)cc32)c2ccccc21	K00564a
FMETVQKSDIOGPX-UHFFFAOYSA-N	Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1	Lck inhibitor
SXOZSDJHGMAEGZ-IGKKHSBFSA-N	CC(=O)O[C@H]1[C@H](C)O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H]1OC(C)=O	SL0101
ISOCDPQFIXDIMS-HSZRJFAPSA-N	O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)[C@H]1CCCN1	XL019
BLQYVHBZHAISJM-CMDGGOBGSA-N	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1	ENMD-2076
CXQHYVUVSFXTMY-UHFFFAOYSA-N	COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1	Foretinib
XZXHXSATPCNXJR-UHFFFAOYSA-N	COC(=O)c1ccc2c(c1)NC(=O)C2=C(Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1	Ninetedanib
IFPPYSWJNWHOLQ-UHFFFAOYSA-N	CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1	PD166285
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1	Dasatinib
GCIKSSRWRFVXBI-UHFFFAOYSA-N	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1	Tozasertib
JJWMRRNGWSITSQ-UHFFFAOYSA-N	O=C(COc1cccc2c(=O)[nH]ccc12)c1ccccc1	UPF1069
HAYYBYPASCDWEQ-UHFFFAOYSA-N	CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1	Entrectinib
GKEYKDOLBLYGRB-LGMDPLHJSA-N	CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O	Famitinib
JLYAXFNOILIKPP-KXQOOQHDSA-N	CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1	Navitoclax
UQTPDWDAYHAZNT-AWEZNQCLSA-N	C[C@H](Nc1cc(-c2cnn(C)c2)cc(Nc2cnccn2)n1)c1ccc(F)cc1	NS-018
WVXNSAVVKYZVOE-UHFFFAOYSA-N	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1	Rebastinib
MLDQJTXFUGDVEO-UHFFFAOYSA-N	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	Sorafenib
UYJZZVDLGDDTCL-UHFFFAOYSA-N	CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1	PJ34
WVMANZPBOBRWCB-UHFFFAOYSA-N	CCCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12	Aloisine
GZFYZYBWLCYBMI-MYZJJQSMSA-N	CCN(CC)CCO[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1.Cl	U18666A
QYPJBTMRYKRTFG-UHFFFAOYSA-N	O=C(c1ccccc1O)c1[nH]c(Cl)c(Cl)c1-n1c(C(=O)c2ccccc2O)cc(Cl)c1Cl	Maritoclax
HHKGVQGXRGQBBA-UHFFFAOYSA-N	CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1	2-MT 63
UUECJWRVDTUDCB-ISLYRVAYSA-N	Cc1cc(/N=N/c2cc(S(=O)(=O)O)c(C)cc2C)c(N)cc1O	Ischemin
