id	inchikey	organism	dose_value	dose_unit	route	dose_raw	source_id
648	HZRJHVDNTDBTOZ-QGZVFWFLSA-N	Mouse	200	mg/kg		0.3 mg/Kg IV, up to 200 mg/Kg	405
649	LHGUZCKPFXXVPV-GOSISDBHSA-N	Mouse	50	mg/kg		50-200 mg/kg	406
650	QKKIWEILHCXECO-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/kg	407
651	KIEQQZZDWUNUQK-UHFFFAOYSA-N	Mouse	2	mg/kg		2mg/Kg	409
652	KIEQQZZDWUNUQK-UHFFFAOYSA-N	Mouse	2	mg/kg		2 mg/Kg	409
653	KIEQQZZDWUNUQK-UHFFFAOYSA-N	Mouse	30	mg/kg		30 mg/Kg	409
654	GCWIQUVXWZWCLE-INIZCTEOSA-N	Mouse	30	mg/kg	PO	30 mg/kg (oral), 10 mg/kg (SC)	411
655	GCWIQUVXWZWCLE-INIZCTEOSA-N	Mouse	10	mg/kg	SC	30 mg/kg (oral), 10 mg/kg (SC)	411
656	XASOHFCUIQARJT-UHFFFAOYSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	1353
657	XASOHFCUIQARJT-UHFFFAOYSA-N	Mouse	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	1353
658	XASOHFCUIQARJT-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	1353
659	XASOHFCUIQARJT-UHFFFAOYSA-N	Rat	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	1353
660	XASOHFCUIQARJT-UHFFFAOYSA-N	Dog	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	1353
661	XASOHFCUIQARJT-UHFFFAOYSA-N	Dog	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	1353
662	KFRGPUFONMCXQI-RUZDIDTESA-N	Mouse	1	mg/kg		1 mg/Kg	1354
663	KFRGPUFONMCXQI-RUZDIDTESA-N	Mouse	10	mg/kg		10 mg/Kg	1354
664	KFRGPUFONMCXQI-RUZDIDTESA-N	Rat	1	mg/kg		1 mg/Kg	1354
665	KFRGPUFONMCXQI-RUZDIDTESA-N	Rat	3	mg/kg		3 mg/Kg	1354
666	XKFTZKGMDDZMJI-HSZRJFAPSA-N	Mouse	10	mg/kg		10 mg/Kg	1355
667	HKROEBDHHKMNBZ-CHBKHGQFSA-N	Rat	30	umol/kg		30 μmol/kg	1356
668	HOTSVKDMIYWWIY-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	1357
669	HOTSVKDMIYWWIY-UHFFFAOYSA-N	Rat	100	mg/kg		10, 30, 100 mg/Kg	1357
670	HOTSVKDMIYWWIY-UHFFFAOYSA-N	Guinea Pig	100	mg/kg		100 mg/Kg	1357
671	AECDBHGVIIRMOI-UHFFFAOYSA-N	Mouse	20	mg/kg		20-50 mg/kg	443
672	PTAMRJLIOCHJMQ-PYNGZGNASA-N	Rat	5	mg/kg		5 mg/Kg	444
673	PTAMRJLIOCHJMQ-PYNGZGNASA-N	Rat	5	mg/kg		5 mg/Kg	444
674	PTAMRJLIOCHJMQ-PYNGZGNASA-N	Mouse	5	mg/kg		5 mg/Kg	444
675	PTAMRJLIOCHJMQ-PYNGZGNASA-N	Mouse	5	mg/kg		5 mg/Kg	444
676	JGPJQFOROWSRRS-UHFFFAOYSA-N	Rat	11	uM/kg		11 uM/Kg	1358
677	QEASMQZYZCGOSA-UHFFFAOYSA-N	Mouse	0.5	mg/kg		0.5 mg/Kg	1359
678	QEASMQZYZCGOSA-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/Kg	1359
679	QEASMQZYZCGOSA-UHFFFAOYSA-N	Rat	0.5	mg/kg		0.5 mg/Kg	1359
680	QEASMQZYZCGOSA-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	1359
681	VQINULODWGEVBB-UHFFFAOYSA-N	Mouse	20	mg/kg		20 mg/Kg	1360
682	GPXQUPCJIJBXHJ-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/Kg	1361
683	YHYKUSGACIYRML-KRWDZBQOSA-N	Rat	3	mg/kg		3 mg/Kg	1362
684	YHYKUSGACIYRML-KRWDZBQOSA-N	Rat	3	mg/kg		3 mg/Kg	1362
685	YHYKUSGACIYRML-KRWDZBQOSA-N	Monkey (Cynomolgus)	1	mg/kg		1 mg/Kg	1362
686	YHYKUSGACIYRML-KRWDZBQOSA-N	Monkey (Cynomolgus)	3	mg/kg		3 mg/Kg	1362
687	YHYKUSGACIYRML-KRWDZBQOSA-N	Dog	1	mg/kg		1 mg/Kg	1362
688	YHYKUSGACIYRML-KRWDZBQOSA-N	Dog	3	mg/kg		3 mg/Kg	1362
689	UWPFUBNCDABUEE-SIFUEBAJSA-N	Mouse	20	mg/kg		2.5, 5.0, 10 and 20 mg/Kg	1363
690	VLYNCWZASZUTNV-FCQUAONHSA-N	Rat	4.2	mg/kg	IV	4.20 mg/kg  IV, 0.42 mg/kg PO	1364
691	VLYNCWZASZUTNV-FCQUAONHSA-N	Rat	0.42	mg/kg	PO	4.20 mg/kg  IV, 0.42 mg/kg PO	1364
692	XKDHFIPNTTUSIA-UHFFFAOYSA-N	Mouse	5	uM/kg		5 uM/Kg	1365
693	XKDHFIPNTTUSIA-UHFFFAOYSA-N	Mouse	50	uM/kg		50 uM/Kg	1365
694	XKDHFIPNTTUSIA-UHFFFAOYSA-N	Mouse	80	uM/kg		80 uM/Kg	1365
695	ALGPVOJFIGPPPX-VIFPVBQESA-N	Mouse	10	mg/kg		10 mg/Kg	453
696	UOZVVPXKJGOFIG-UHFFFAOYSA-N	Mouse	50	mg/kg		50 mg/kg	1366
697	MSYKRHVOOPPJKU-BDAKNGLRSA-N	Rat	10	mg/kg		10 mg/Kg	1367
698	GCVYFXYBQCKHCH-UHFFFAOYSA-N	Rat	0.5	mg/kg		0.5 mg/kg	1368
699	GCVYFXYBQCKHCH-UHFFFAOYSA-N	Rat	1	mg/kg		1.0 mg/kg	1368
700	JGLGMFHQGRAHAO-HXUWFJFHSA-N	Mouse	1	mg/kg		1 mg/Kg	1369
701	JGLGMFHQGRAHAO-HXUWFJFHSA-N	Mouse	10	mg/kg		10 mg/Kg	1369
702	GHNYLVIESIGHDJ-OAQYLSRUSA-N	Rat	1	mg/kg		1 mg/Kg	1370
703	GHNYLVIESIGHDJ-OAQYLSRUSA-N	Rat	3	mg/kg		3 mg/Kg	1370
704	GHNYLVIESIGHDJ-OAQYLSRUSA-N	Rat	10	mg/kg		10 mg/Kg	1370
705	YHLQVQKZDZYMIP-MOPGFXCFSA-N	Rat	1	mg/kg		1 mg/Kg	1371
706	YHLQVQKZDZYMIP-MOPGFXCFSA-N	Rat	1	mg/kg		1 mg/Kg	1371
707	YHLQVQKZDZYMIP-MOPGFXCFSA-N	Dog	0.5	mg/kg		0.5 mg/Kg	1371
708	YHLQVQKZDZYMIP-MOPGFXCFSA-N	Dog	1	mg/kg		1 mg/Kg	1371
709	YHLQVQKZDZYMIP-MOPGFXCFSA-N	Monkey (Cynomolgus)	1	mg/kg		1 mg/Kg	1371
710	YHLQVQKZDZYMIP-MOPGFXCFSA-N	Monkey (Cynomolgus)	1	mg/kg		1 mg/Kg	1371
711	NDAZATDQFDPQBD-UHFFFAOYSA-N	Mouse	50	mg/kg		50 mg/Kg	460
712	UCJZOKGUEJUNIO-IINYFYTJSA-N	Mouse	1	mg/kg		1 mg/Kg	1372
713	UCJZOKGUEJUNIO-IINYFYTJSA-N	Mouse	5	mg/kg		5 mg/Kg	1372
714	UCJZOKGUEJUNIO-IINYFYTJSA-N	Rat	1	mg/kg		1 mg/Kg	1372
715	UCJZOKGUEJUNIO-IINYFYTJSA-N	Rat	5	mg/kg		5 mg/Kg	1372
716	UCJZOKGUEJUNIO-IINYFYTJSA-N	Dog	0.2	mg/kg		0.2 mg/Kg	1372
717	UCJZOKGUEJUNIO-IINYFYTJSA-N	Dog	1	mg/kg		1 mg/Kg	1372
718	UCJZOKGUEJUNIO-IINYFYTJSA-N	Monkey (Cynomolgus)	0.3	mg/kg		0.3 mg/Kg	1372
719	UCJZOKGUEJUNIO-IINYFYTJSA-N	Monkey (Cynomolgus)	1	mg/kg		1 mg/Kg	1372
720	ZLVKIBLQXFILMA-IKGGRYGDSA-N	Mouse	1	mg/kg		1 mg/Kg	1373
721	ZLVKIBLQXFILMA-IKGGRYGDSA-N	Mouse	30	mg/kg		30 mg/Kg	1373
722	ZLVKIBLQXFILMA-IKGGRYGDSA-N	Mouse	100	mg/kg		100 mg/Kg	1373
723	BUIJBFHGUQJYSD-XZOQPEGZSA-N	Mouse	10	mg/kg	IV	10 mg/Kg IV, 40 mg/Kg PO	1374
724	BUIJBFHGUQJYSD-XZOQPEGZSA-N	Mouse	40	mg/kg	PO	10 mg/Kg IV, 40 mg/Kg PO	1374
725	BUIJBFHGUQJYSD-XZOQPEGZSA-N	Rat	10	mg/kg	IV	10 mg/Kg IV and PO	1374
726	BLFBSGVUERKSST-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/kg	1375
727	MOWXJLUYGFNTAL-DEOSSOPVSA-N	Mouse	0.2	mg/kg		0.2 mg/Kg	1376
728	MOWXJLUYGFNTAL-DEOSSOPVSA-N	Mouse	0.5	mg/kg		0.5 mg/Kg	1376
729	OMISHRJQMYQPMG-UHFFFAOYSA-N	Mouse	2	mg/kg		2 mg/Kg	1377
730	OMISHRJQMYQPMG-UHFFFAOYSA-N	Mouse	3	mg/kg		3 mg/Kg	1377
731	OMISHRJQMYQPMG-UHFFFAOYSA-N	Monkey (Cynomolgus)	0.3	mg/kg		0.3 mg/Kg	1377
732	OMISHRJQMYQPMG-UHFFFAOYSA-N	Monkey (Cynomolgus)	1	mg/kg		1.0 mg/Kg	1377
733	LTOAWFRZXVPHAJ-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	1378
734	AOTRIQLYUAFVSC-UHFFFAOYSA-N	Rat					1379
735	AOTRIQLYUAFVSC-UHFFFAOYSA-N	Dog					1379
736	AOTRIQLYUAFVSC-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/Kg	1379
737	ATKHYZXUMVNCIO-UHFFFAOYSA-N	Rat	0.3	mg/kg	IV	0.3 mg/kg IV, 0.6 mg/kg PO	1380
738	ATKHYZXUMVNCIO-UHFFFAOYSA-N	Rat	0.6	mg/kg	PO	0.3 mg/kg IV, 0.6 mg/kg PO	1380
739	ATKHYZXUMVNCIO-UHFFFAOYSA-N	Mouse	0.3	mg/kg		0.3 mg/kg	1380
740	WXRCLFFPZXJCLS-UHFFFAOYSA-N	Mouse	30	mg/kg		0.3, 3.0, 30.0 mg/Kg	1381
741	KLKKWCPJBTXWOV-UHFFFAOYSA-N	Mouse					1382
742	IPUJINDWAGRAHN-KNXBSLHKSA-N	Rat	1	mg/kg		1 mg/Kg	1383
743	IPUJINDWAGRAHN-KNXBSLHKSA-N	Rat	3	mg/kg		3 mg/Kg	1383
744	IPUJINDWAGRAHN-KNXBSLHKSA-N	Dog	1	mg/kg		1 mg/Kg	1383
745	IPUJINDWAGRAHN-KNXBSLHKSA-N	Dog	10	mg/kg		10 mg/Kg	1383
746	IPUJINDWAGRAHN-KNXBSLHKSA-N	Monkey (Cynomolgus)	1	mg/kg		1 mg/Kg	1383
747	IPUJINDWAGRAHN-KNXBSLHKSA-N	Monkey (Cynomolgus)	3	mg/kg		3 mg/Kg	1383
748	FMQWOAKTQPLQBR-SANMLTNESA-N	Rat	0.5	mg/kg		0.5 mg/Kg	1384
749	FMQWOAKTQPLQBR-SANMLTNESA-N	Rat	2	mg/kg		2.0 mg/Kg	1384
750	JOFQERPJMGKMMX-QGZVFWFLSA-N	Rat					512
751	IKPNRMYDOSNVAU-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/kg	1385
752	IKPNRMYDOSNVAU-UHFFFAOYSA-N	Dog	0.5	mg/kg		0.5 mg/kg	1385
753	IKPNRMYDOSNVAU-UHFFFAOYSA-N	Monkey (Cynomolgus)	0.5	mg/kg		0.5 mg/kg	1385
754	OYDTWNVVTPPDDO-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	1386
755	OYDTWNVVTPPDDO-UHFFFAOYSA-N	Rat	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	1386
756	OYDTWNVVTPPDDO-UHFFFAOYSA-N	Mouse	80	mg/kg		20 and 80 mg/Kg	1386
757	UEMPFKOYBHCUIG-QVIWBNHYSA-N	Mouse	3	mg/kg		3 mg/Kg	1387
758	UEMPFKOYBHCUIG-QVIWBNHYSA-N	Mouse	3	mg/kg		3 mg/Kg	1387
759	UEMPFKOYBHCUIG-QVIWBNHYSA-N	Mouse	5	mg/kg		5 mg/Kg	1387
760	UEMPFKOYBHCUIG-QVIWBNHYSA-N	Mouse	10	mg/kg		10 mg/Kg	1387
761	ILPWEAHQRAWJIU-OAHLLOKOSA-N	Mouse	3	mg/kg	IV	3 mg/Kg IV, 30 mg/Kg PO	1388
762	ILPWEAHQRAWJIU-OAHLLOKOSA-N	Mouse	30	mg/kg	PO	3 mg/Kg IV, 30 mg/Kg PO	1388
763	ILPWEAHQRAWJIU-OAHLLOKOSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	1388
764	ILPWEAHQRAWJIU-OAHLLOKOSA-N	Rat	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	1388
765	ILPWEAHQRAWJIU-OAHLLOKOSA-N	Dog	2	mg/kg	IV	2 mg/Kg IV, 10 mg/Kg PO	1388
766	ILPWEAHQRAWJIU-OAHLLOKOSA-N	Dog	10	mg/kg	PO	2 mg/Kg IV, 10 mg/Kg PO	1388
767	DVFCRTGTEXUFIN-GFCCVEGCSA-N	Mouse	10	mg/kg		1, 10 mg/Kg	1389
768	HPBOMWKBZHYYGE-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	1390
769	HPBOMWKBZHYYGE-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	1390
770	JDUBGYFRJFOXQC-KRWDZBQOSA-N	Mouse					1391
771	JDUBGYFRJFOXQC-KRWDZBQOSA-N	Rat					1391
772	JDUBGYFRJFOXQC-KRWDZBQOSA-N	Dog					1391
773	MCRHRRIGPAVFNY-SFHVURJKSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	1392
774	MCRHRRIGPAVFNY-SFHVURJKSA-N	Mouse	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	1392
775	FXMIIWBGTCDJJQ-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/Kg	1393
776	FXMIIWBGTCDJJQ-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	1393
777	FXMIIWBGTCDJJQ-UHFFFAOYSA-N	Rat	0.6	mg/kg		0.6 mg/Kg, 1 mg/Kg	1393
778	FXMIIWBGTCDJJQ-UHFFFAOYSA-N	Rat	1	mg/kg		0.6 mg/Kg, 1 mg/Kg	1393
779	FXMIIWBGTCDJJQ-UHFFFAOYSA-N	Dog	1	mg/kg		1 mg/Kg	1393
780	FXMIIWBGTCDJJQ-UHFFFAOYSA-N	Dog	1	mg/kg		1 mg/Kg	1393
781	HKXSBJJCHBFTMB-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	1394
782	IYFCFYWXRIVCTH-OAHLLOKOSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	1395
783	IYFCFYWXRIVCTH-OAHLLOKOSA-N	Mouse	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	1395
784	JOAFWIHZEBKYQK-OAHLLOKOSA-N	Rat	2	mg/kg		2 mg/Kg	1396
785	JOAFWIHZEBKYQK-OAHLLOKOSA-N	Rat	10	mg/kg		10 mg/Kg	1396
786	JOAFWIHZEBKYQK-OAHLLOKOSA-N	Dog	1	mg/kg		1 mg/Kg	1396
787	JOAFWIHZEBKYQK-OAHLLOKOSA-N	Dog	10	mg/kg		10 mg/Kg	1396
788	JOAFWIHZEBKYQK-OAHLLOKOSA-N	Monkey (Cynomolgus)	1	mg/kg		1 mg/Kg	1396
789	JOAFWIHZEBKYQK-OAHLLOKOSA-N	Monkey (Cynomolgus)	10	mg/kg		10 mg/Kg	1396
790	QJRFBKYETDVAJQ-ZEQKJWHPSA-N	Rat	5	mg/kg		5 mg/kg	1397
791	QJRFBKYETDVAJQ-ZEQKJWHPSA-N	Rat	10	mg/kg		10 mg/Kg	1397
792	QJRFBKYETDVAJQ-ZEQKJWHPSA-N	Dog	2.5	mg/kg		2.5 mg/Kg	1397
793	QJRFBKYETDVAJQ-ZEQKJWHPSA-N	Dog	5	mg/kg		5 mg/Kg	1397
794	FVZCFUKXGUUDBQ-ZWSMLAFMSA-N	Mouse	1	mg/kg		1 mg/Kg	1398
795	FVZCFUKXGUUDBQ-ZWSMLAFMSA-N	Mouse	3	mg/kg		3 mg/Kg	1398
796	FVZCFUKXGUUDBQ-ZWSMLAFMSA-N	Mouse	30	mg/kg		30 mg/Kg	1398
797	YPPSMYLMSKHYAY-UHFFFAOYSA-N	Mouse	2.5	mg/kg		2.5 mg/kg	1399
798	FOLSZCLZVLICGG-GJYPPUQNSA-N	Mouse	1	mg/kg	IV	1 mg/kg IV, 15 mg/kg PO	1400
799	FOLSZCLZVLICGG-GJYPPUQNSA-N	Mouse	15	mg/kg	PO	1 mg/kg IV, 15 mg/kg PO	1400
800	FOLSZCLZVLICGG-GJYPPUQNSA-N	Monkey (Cynomolgus)	0.5	mg/kg	IV	0.5 mg/kg IV, 1 mg/kg PO	1400
801	FOLSZCLZVLICGG-GJYPPUQNSA-N	Monkey (Cynomolgus)	1	mg/kg	PO	0.5 mg/kg IV, 1 mg/kg PO	1400
802	AKCDDYGYIGPEKL-JQOQJDEVSA-N	Rat	40	mg/kg		10/40 mg/kg	1401
803	AKCDDYGYIGPEKL-JQOQJDEVSA-N	Dog	5	mg/kg		5 mg/kg and 20 mg/kg	1401
804	AKCDDYGYIGPEKL-JQOQJDEVSA-N	Dog	20	mg/kg		5 mg/kg and 20 mg/kg	1401
805	HFOBENSCBRZVSP-NRFSWKIWSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV, 30 mg/Kg PO	1402
806	HFOBENSCBRZVSP-NRFSWKIWSA-N	Mouse	30	mg/kg	PO	1 mg/Kg IV, 30 mg/Kg PO	1402
807	XYKISMBNQVUKPW-GOSISDBHSA-N	Mouse	10	mg/kg		10 mg/Kg	1403
808	XYKISMBNQVUKPW-GOSISDBHSA-N	Mouse					1403
809	JJRRWLVKNLMRSA-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/Kg	1404
810	ZZFKEZYGYPWBGP-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/Kg	1405
811	ZZFKEZYGYPWBGP-UHFFFAOYSA-N	Mouse	60	mg/kg		60 mg/Kg	1405
812	STQKUEFQEVDNLU-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/kg	1406
813	MVYWULXPOKYILU-UHFFFAOYSA-N	Mouse	0.5	mg/kg	IV	0.5 mg/Kg IV, 30 mg/Kg PO	1407
814	MVYWULXPOKYILU-UHFFFAOYSA-N	Mouse	30	mg/kg	PO	0.5 mg/Kg IV, 30 mg/Kg PO	1407
815	OLEFHQBTXFCZON-HXUWFJFHSA-N	Mouse	0.5	mg/kg		0.5 mg/Kg	547
816	OLEFHQBTXFCZON-HXUWFJFHSA-N	Mouse	5	mg/kg		5 mg/Kg	547
817	OLEFHQBTXFCZON-HXUWFJFHSA-N	Rat	1	mg/kg		1 mg/Kg	547
818	OLEFHQBTXFCZON-HXUWFJFHSA-N	Rat	5	mg/kg		5 mg/Kg	547
819	OLEFHQBTXFCZON-HXUWFJFHSA-N	Dog	1	mg/kg		1 mg/Kg	547
820	OLEFHQBTXFCZON-HXUWFJFHSA-N	Dog	5	mg/kg		5 mg/Kg	547
821	WZMIWVZGYMKUDV-UHFFFAOYSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	1408
822	WZMIWVZGYMKUDV-UHFFFAOYSA-N	Mouse	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	1408
823	LPQXZOJIUVOCAL-NRFANRHFSA-N	Mouse	0.3	mg/kg		0.3 mg/Kg	1409
824	LPQXZOJIUVOCAL-NRFANRHFSA-N	Mouse	1	mg/kg		1.0 mg/Kg	1409
825	LPQXZOJIUVOCAL-NRFANRHFSA-N	Rat	0.3	mg/kg		0.3 mg/Kg	1409
826	LPQXZOJIUVOCAL-NRFANRHFSA-N	Rat	1	mg/kg		1 mg/Kg	1409
827	LPQXZOJIUVOCAL-NRFANRHFSA-N	Dog	0.3	mg/kg		0.3 mg/Kg	1409
828	LPQXZOJIUVOCAL-NRFANRHFSA-N	Dog	1	mg/kg		1 mg/Kg	1409
829	YBXRSCXGRPSTMW-CYBMUJFWSA-N	Mouse					551
830	YBXRSCXGRPSTMW-CYBMUJFWSA-N	Rat					551
831	YBXRSCXGRPSTMW-CYBMUJFWSA-N	Dog					551
832	YBXRSCXGRPSTMW-CYBMUJFWSA-N	Mouse	4	mg/kg		4 mg/Kg	551
833	YBXRSCXGRPSTMW-CYBMUJFWSA-N	Mouse	4	mg/kg		4 mg/Kg	551
834	SCLLZBIBSFTLIN-INOGPEIASA-N	Mouse	30	mg/kg		30 mgKg	1410
835	DNHPDWGIXIMXSA-CXNSMIOJSA-N	Rat	1	mg/kg		1-30 mg/Kg	556
836	DNHPDWGIXIMXSA-CXNSMIOJSA-N	Mouse	1	mg/kg		1-10 mg/Kg	556
837	MMJPVSDTLGFIQW-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	1411
838	MMJPVSDTLGFIQW-UHFFFAOYSA-N	Rat	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	1411
839	KVMGAIOTUIGROS-AZUAARDMSA-N	Mouse	1	mg/kg		0.03, 0.1, 0.3 and 1 mg/kg	1412
840	ZGTWRRCZLAOQMY-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/Kg	1413
841	ZHXNIYGJAOPMSO-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	561
842	ZHXNIYGJAOPMSO-UHFFFAOYSA-N	Mouse	20	mg/kg		20 mg/Kg	561
843	RXSCURXNWIHEAV-UHFFFAOYSA-N	Mouse	0.2	mg/kg		0.2 mg/Kg	1414
844	RXSCURXNWIHEAV-UHFFFAOYSA-N	Mouse	30	mg/kg		30 mg/Kg	1414
845	BJFSUDWKXGMUKA-UHFFFAOYSA-N	Mouse	180	mg/kg		180 mg/kg	579
846	RNAMYOYQYRYFQY-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/kg	580
847	QOECJCJVIMVJGX-UHFFFAOYSA-N	Mouse	1	mg/mL		1 mg/mL	581
848	DPJNKUOXBZSZAI-UHFFFAOYSA-N	Mouse	150	mg/kg		15, 50 or 150 mg/kg	582
849	OTTJIRVZJJGFTK-SFHVURJKSA-N	Other	0.8	mg/kg		0.8 mg/kg (rat), 10-100 mg/kg (mouse)	586
850	OTTJIRVZJJGFTK-SFHVURJKSA-N	Other	10	mg/kg		0.8 mg/kg (rat), 10-100 mg/kg (mouse)	586
851	ZKXZLIFRWWKZRY-KRWDZBQOSA-N	Mouse	10	mg/kg		10 mg/kg, 2 mg/kg (IV)	1415
852	ZKXZLIFRWWKZRY-KRWDZBQOSA-N	Mouse	2	mg/kg	IV	10 mg/kg, 2 mg/kg (IV)	1415
853	PSOXOVKYGWBTPB-UHFFFAOYSA-N	Mouse	30	mg/kg		30 mg/Kg, 40 mg/Kg, 50 mg/Kg	589
854	PSOXOVKYGWBTPB-UHFFFAOYSA-N	Mouse	40	mg/kg		30 mg/Kg, 40 mg/Kg, 50 mg/Kg	589
855	PSOXOVKYGWBTPB-UHFFFAOYSA-N	Mouse	50	mg/kg		30 mg/Kg, 40 mg/Kg, 50 mg/Kg	589
856	MPUQHZXIXSTTDU-QXGSTGNESA-N	Other	10	mg/kg		10-60 mg/kg	590
857	DYIRSNMPIZZNBK-UHFFFAOYSA-N	Mouse	40	mg/kg		4 and 40 mg/kg	591
858	DRLCSJFKKILATL-YWCVFVGNSA-N	Other	0.5	mg/kg		0.5 mg/kg (rat)	592
859	ZDNGJXBUEQNFBQ-GCJKJVERSA-N	Rat	35	umol/kg		35-50 µmol/kg	595
860	QJJXYPPXXYFBGM-LFZNUXCKSA-N	Rat	10	mg/kg		1, 2, 5, 10 mg/Kg	596
861	YKNAKDFZAWQEEO-IBGZPJMESA-N	Mouse	3	mg/mL		3 mg/mL	597
862	QJZRFPJCWMNVAV-HHHXNRCGSA-N	Mouse					598
863	QJZRFPJCWMNVAV-HHHXNRCGSA-N	Mouse					598
864	JNAHVYVRKWKWKQ-CYBMUJFWSA-N	Other	10	mg/kg		10 mg/kg (mice), 5 mg/kg (rat)	599
865	JNAHVYVRKWKWKQ-CYBMUJFWSA-N	Other	5	mg/kg		10 mg/kg (mice), 5 mg/kg (rat)	599
866	FDLYAMZZIXQODN-UHFFFAOYSA-N	Other	10	mg/kg		10 mg/kg (mouse)  , 15 mg/kg (rat), 2.5 mg/kg (dog)	600
867	FDLYAMZZIXQODN-UHFFFAOYSA-N	Other	15	mg/kg		10 mg/kg (mouse)  , 15 mg/kg (rat), 2.5 mg/kg (dog)	600
868	FDLYAMZZIXQODN-UHFFFAOYSA-N	Other	2.5	mg/kg		10 mg/kg (mouse)  , 15 mg/kg (rat), 2.5 mg/kg (dog)	600
869	PCHKPVIQAHNQLW-CQSZACIVSA-N	Other					601
870	ULXXDDBFHOBEHA-CWDCEQMOSA-N	Mouse	20	mg/kg		20 mg/kg	602
871	KXBDTLQSDKGAEB-UHFFFAOYSA-N	Other	50	mg/kg		50 mg/kg	603
872	LGWDVWIZDPGCFG-UHFFFAOYSA-N	Mouse				2 (IV), 10 (PO) mg/Kg	605
873	SQSZANZGUXWJEA-UHFFFAOYSA-N	Other	100	mg/kg		30, 60, 100 mg/Kg	606
874	GMPQGWXPDRNCBL-UHFFFAOYSA-N	Other	10	mg/kg		10 mg/kg	608
875	CYOHGALHFOKKQC-UHFFFAOYSA-N	Mouse	10	mg/kg		10-100 mg/kg	609
876	REVJNSVNICWODC-KIDMSAQOSA-N	Mouse	300	mg/kg		300 mg/kg (with extended release vehicle)	610
877	DFBDRVGWBHBJNR-BBNFHIFMSA-N	Other	5	mg/kg		5-100 mg/Kg	612
878	RRZVGDGTWNQAPW-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/kg	613
879	ITTRLTNMFYIYPA-UHFFFAOYSA-N	Other	1	mg/kg	IV	1 mg/Kg IV, 10-25 mg/Kg PO	614
880	ITTRLTNMFYIYPA-UHFFFAOYSA-N	Other	10	mg/kg	PO	1 mg/Kg IV, 10-25 mg/Kg PO	614
881	PMQUGSPFUBGJCZ-CHOKWEPUSA-N	Other	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	616
882	PMQUGSPFUBGJCZ-CHOKWEPUSA-N	Other	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	616
883	QKPUKWQKXUUTOK-UHFFFAOYSA-N	Other	80	mg/kg		80 mg/kg	617
884	MFYLCAMJNGIULC-KCVUFLITSA-N	Other	0.5	mg/kg		0.5 mg/Kg, 16 mg/Kg, 25 mg/Kg	618
