chembl_id	inchikey
CHEMBL4594350	PEMUGDMSUDYLHU-ZEQRLZLVSA-N
CHEMBL4535757	NXQKSXLFSAEQCZ-SFHVURJKSA-N
CHEMBL5094181	RIGHCDSORZCRDE-UHFFFAOYSA-N
CHEMBL4538174	RAXZSEGXMBWYQK-SNVBAGLBSA-N
CHEMBL103667	MVCOAUNKQVWQHZ-UHFFFAOYSA-N
CHEMBL3393333	RHFIAUKMKYHHFA-UHFFFAOYSA-N
CHEMBL5307201	LUVOYGUFQRWXGQ-UHFFFAOYSA-N
CHEMBL4854762	VSMTYSWGHKYXOF-UHFFFAOYSA-N
CHEMBL4465176	NWTCZTAQSRLSCP-UHFFFAOYSA-N
CHEMBL483158	ZLHFILGSQDJULK-UHFFFAOYSA-N
CHEMBL3644620	XDJGNPSZQSWJCV-UHFFFAOYSA-N
CHEMBL3301610	UZWDCWONPYILKI-UHFFFAOYSA-N
CHEMBL597997	QJZQFVRFJCGDKF-UHFFFAOYSA-N
CHEMBL1922094	YOVVNQKCSKSHKT-HNNXBMFYSA-N
CHEMBL4582651	GBLBJPZSROAGMF-RWYJCYHVSA-N
CHEMBL38508	HWVNEWGKWRGSRK-UHFFFAOYSA-N
CHEMBL1801204	KVLFRAWTRWDEDF-IRXDYDNUSA-N
CHEMBL2017214	HFLMLZKGLUEWBU-UHFFFAOYSA-N
CHEMBL5078078	OAZAPIKYVGRNCO-UHFFFAOYSA-N
CHEMBL4078100	RSMYFSPOTCDHHJ-GOSISDBHSA-N
CHEMBL4783351	SJHNWSAWWOAWJH-MRXNPFEDSA-N
CHEMBL5173945	RQFYFNAGNBUGFC-UHFFFAOYSA-N
CHEMBL4647764	COGUZYALRYMQTD-LJQANCHMSA-N
CHEMBL4782804	WQVPGYMGERDXLH-UHFFFAOYSA-N
CHEMBL2012582	IWMCPJZTADUIFX-UHFFFAOYSA-N
CHEMBL5084520	QJSFLEBIQZMJQF-UHFFFAOYSA-N
CHEMBL4754873	DMUSMYYDKCXFKR-MRJIRHQNSA-N
CHEMBL5279102	LXRBPWHQMGKMRT-GOSISDBHSA-N
CHEMBL3658400	IVOACCSOISMVBL-UHFFFAOYSA-N
CHEMBL4586794	HEUVRFNVTLGKMZ-SANMLTNESA-N
CHEMBL1957266	DNVXATUJJDPFDM-KRWDZBQOSA-N
CHEMBL428647	RCINICONZNJXQF-MZXODVADSA-N
CHEMBL4539512	BDYDINKSILYBOL-WMZHIEFXSA-N
CHEMBL4565370	DUCNNEYLFOQFSW-PMERELPUSA-N
CHEMBL4073553	RNEOHKZPZKEZCQ-UHFFFAOYSA-N
CHEMBL4591825	UYKVJQCPBDDIFD-ZSEKCTLFSA-N
CHEMBL425190	RMCSKUADBRROSI-UHFFFAOYSA-N
CHEMBL5204869	RWRSKMSFZCQDMQ-UHFFFAOYSA-N
CHEMBL4548795	RIWTUJFFSTVYPW-UHFFFAOYSA-N
CHEMBL5401026	QARLNMDDSQMINK-BVRKHOPBSA-N
CHEMBL3360279	HKASDKLLEVWKJA-YADARESESA-N
CHEMBL4549658	MDUYWDNWFXSMJJ-XWLWVQCSSA-N
CHEMBL2420629	XRDVXQQZLHVEQZ-UHFFFAOYSA-N
CHEMBL2396674	MZBOZBMARIQZGX-GRRGFIRHSA-N
CHEMBL5191316	UNRTVIQQMJRQLZ-UHFFFAOYSA-N
CHEMBL5085509	CQAPXPSWLDAVEG-UHFFFAOYSA-N
CHEMBL3603847	OBJNFLYHUXWUPF-IZZDOVSWSA-N
CHEMBL4519023	XVFDNRYZXDHTHT-PXAZEXFGSA-N
CHEMBL4461515	IVYQPSHHYIAUFO-VXKWHMMOSA-N
CHEMBL5198935	RVOZYMPVGIVNJX-UHFFFAOYSA-N
CHEMBL1922660	DFQGDHBGRSTTHX-UHFFFAOYSA-N
CHEMBL3828074	REQQVBGILUTQNN-UHFFFAOYSA-N
CHEMBL300780	YJPWVCIGSHWNON-UHFFFAOYSA-N
CHEMBL5182441	ZAGCLFXBHOXXEN-JPTLTNPLSA-N
CHEMBL5095260	YIHHYCIYAIVQKX-MBIULKOWSA-N
CHEMBL3769414	BBIPVJCGIASXJB-PKTZIBPZSA-N
CHEMBL1289494	SPMVMDHWKHCIDT-UHFFFAOYSA-N
CHEMBL4214264	ZRPZPNYZFSJUPA-UHFFFAOYSA-N
CHEMBL5279982	NDRFFOKFYGUOKD-ZDUSSCGKSA-N
CHEMBL388978	HKSZLNNOFSGOKW-FYTWVXJKSA-N
CHEMBL5303508	PJKRNPPUSQSCHN-UHFFFAOYSA-N
CHEMBL4759513	BLSNYSFLZAWBIV-SFHVURJKSA-N
CHEMBL3417525	QGPXEIMWTKWHMH-DEOSSOPVSA-N
