id	inchikey	target_id	moa
320	VGRLXWFIXGZRMS-UHFFFAOYSA-N	81	inhibitor
321	PGKXDIMONUAMFR-AREMUKBSSA-N	165	antagonist
322	PWKAYICUBVNJAZ-UHFFFAOYSA-N	50	inhibitor
323	MSTXJJGAXXJCBY-UHFFFAOYSA-N	22	inhibitor
324	VHSVKVWHYFBIFJ-HKZYLEAXSA-N	527	agonist
325	IVDUVEGCMXCMSO-FQEVSTJZSA-N	30	inhibitor
326	WOAOENGFAAUUGT-UHFFFAOYSA-N	548	antagonist
327	HRJWTAWVFDCTGO-UHFFFAOYSA-N	299	inhibitor
328	HRJWTAWVFDCTGO-UHFFFAOYSA-N	300	inhibitor
329	BZZKEPGENYLQSC-FIBGUPNXSA-N	209	inhibitor
330	XUKUURHRXDUEBC-KAYWLYCHSA-N	103	inhibitor, prodrug
331	WDHOIABIERMLGY-CMJOXMDJSA-N	101	degrader, antagonist
332	YTINZZFBHWSAGL-NDEPHWFRSA-N	525	degrader, celmod
333	VNCIWNGCMAKKEO-UHFFFAOYSA-N	321	inhibitor
334	VNCIWNGCMAKKEO-UHFFFAOYSA-N	322	inhibitor
335	VRQMAABPASPXMW-HDICACEKSA-N	141	inhibitor
336	VRQMAABPASPXMW-HDICACEKSA-N	171	inhibitor
337	VRQMAABPASPXMW-HDICACEKSA-N	177	inhibitor
338	AVKAVKZKOFSSMY-DEOSSOPVSA-N	576	inhibitor
339	QGNDVASWIHEXCL-AWEZNQCLSA-N	355	inhibitor
340	QGNDVASWIHEXCL-AWEZNQCLSA-N	264	inhibitor
341	QCIJLRJBZDBVDB-UHFFFAOYSA-N	329	inhibitor
342	ZKIRTFGYQVXNGL-UHFFFAOYSA-N	544	inhibitor
343	AQTNUGRRZDRZIA-UHFFFAOYSA-N	308	inhibitor
344	AQTNUGRRZDRZIA-UHFFFAOYSA-N	309	inhibitor
345	AQTNUGRRZDRZIA-UHFFFAOYSA-N	467	inhibitor
346	RZFJBSIAXYEPBX-UHFFFAOYSA-N	520	inhibitor
347	IXWUILRSNIQHDM-QGZVFWFLSA-N	355	inhibitor
348	IXWUILRSNIQHDM-QGZVFWFLSA-N	264	inhibitor
349	INAICWLVUAKEPB-QSTFCLMHSA-N	308	antagonist
350	INAICWLVUAKEPB-QSTFCLMHSA-N	309	antagonist
351	INAICWLVUAKEPB-QSTFCLMHSA-N	467	antagonist
352	GWGNPYYVGANHRJ-GDBMZVCRSA-N	72	inhibitor
353	AUOSKLDNVNGKRR-UHFFFAOYSA-N	24	inhibitor
354	KGXBCWANASZZQG-UHFFFAOYSA-N	23	inhibitor
355	KGXBCWANASZZQG-UHFFFAOYSA-N	511	inhibitor
356	KGXBCWANASZZQG-UHFFFAOYSA-N	624	inhibitor
357	ZRTFTZCKJUNZIU-HNNXBMFYSA-N	355	inhibitor
358	ZRTFTZCKJUNZIU-HNNXBMFYSA-N	264	inhibitor
359	CZKPAGLXQOQNEI-UHFFFAOYSA-N	534	inhibitor
360	JKJMWHULJIOKPJ-UHFFFAOYSA-N	487	inhibitor
361	JKJMWHULJIOKPJ-UHFFFAOYSA-N	541	inhibitor
362	TXJZRSRTYPUYRW-GHTZIAJQSA-N	243	inhibitor
363	ARYUXFNGXHNNDM-UHFFFAOYSA-N	413	modulator
364	WQAVGRAETZEADU-UHFFFAOYSA-N	131	inhibitor
365	MLJVGAYSVYMPSB-MSUKGTQXSA-N	582	inhibitor
366	CDJPHTNUARAVMH-SECBINFHSA-N	187	antagonist
367	HFNKQEVNSGCOJV-OAHLLOKOSA-N	180	inhibitor
368	HFNKQEVNSGCOJV-OAHLLOKOSA-N	52	inhibitor
369	OQFCHSFVWSLDAO-UHFFFAOYSA-N	26	inhibitor
370	OQFCHSFVWSLDAO-UHFFFAOYSA-N	483	inhibitor
371	WSEQXVZVJXJVFP-FQEVSTJZSA-N	219	inhibitor
372	AJBBEYXFRYFVNM-UHFFFAOYSA-N	207	antagonist
373	HNOLTAKAPDKZRY-AWEZNQCLSA-N	596	inhibitor
374	KJDAGXLMHXUAGV-DGWLBADLSA-N	174	inhibitor
375	FLNYLINBEZROPL-NSOVKSMOSA-N	189	antagonist
376	CMJJZRAAQMUAFH-INIZCTEOSA-N	373	inhibitor
