target_id	source_db	property	ordinal	value
200	Chemical Probes Portal	subClass	0	Serotonin Receptor
201	Chemical Probes Portal	class	0	Epigenetic
201	Chemical Probes Portal	subClass	0	Transcription factor
201	Chemical Probes Portal	subClass	1	Transcription Factor
202	Chemical Probes Portal	class	0	Kinase
202	Chemical Probes Portal	subClass	0	CMGC
203	Chemical Probes Portal	class	0	NHR
203	Chemical Probes Portal	subClass	0	Retinoic acid receptor
204	Chemical Probes Portal	class	0	Glycoprotein
204	Chemical Probes Portal	subClass	0	Granulin family
205	Chemical Probes Portal	class	0	Enzyme
205	Chemical Probes Portal	subClass	0	Dehydrogenase
206	Chemical Probes Portal	class	0	GPCR
206	Chemical Probes Portal	subClass	0	Adenosine receptor
207	Chemical Probes Portal	class	0	GPCR
207	Chemical Probes Portal	subClass	0	Adenosine receptor
208	Chemical Probes Portal	class	0	GPCR
208	Chemical Probes Portal	subClass	0	NK-3 Receptor
209	Chemical Probes Portal	class	0	Kinase
209	Chemical Probes Portal	subClass	0	Tyrosine Kinase
209	Chemical Probes Portal	subClass	1	Tyrosine kinase
210	Chemical Probes Portal	class	0	Kinase
210	Chemical Probes Portal	subClass	0	Ser/Thr kinase
210	Chemical Probes Portal	subClass	1	Ser/Thr Protein Kinase
211	Chemical Probes Portal	class	0	Other post-translational modification
211	Chemical Probes Portal	subClass	0	Acyltransferase
212	Chemical Probes Portal	class	0	GPCR
212	Chemical Probes Portal	subClass	0	Vasorepressin receptor
213	Chemical Probes Portal	class	0	Kinase
213	Chemical Probes Portal	subClass	0	Tyrosine kinase
214	Chemical Probes Portal	class	0	GPCR
214	Chemical Probes Portal	subClass	0	Oxytocin receptor
215	Chemical Probes Portal	class	0	GPCR
215	Chemical Probes Portal	subClass	0	GnRH receptor
215	Chemical Probes Portal	subClass	1	Hormone Receptor
216	Chemical Probes Portal	class	0	Other post-translational modification
216	Chemical Probes Portal	subClass	0	Methionine Adenosyltransferase
217	Chemical Probes Portal	class	0	Transporter
217	Chemical Probes Portal	subClass	0	Solute carrier
218	Chemical Probes Portal	class	0	Ion Channel
219	Chemical Probes Portal	class	0	Transporter
219	Chemical Probes Portal	subClass	0	Serotonin transporter
220	Chemical Probes Portal	class	0	Kinase
220	Chemical Probes Portal	subClass	0	AGC
221	Chemical Probes Portal	class	0	Kinase
221	Chemical Probes Portal	subClass	0	AGC
222	Chemical Probes Portal	class	0	Other
222	Chemical Probes Portal	subClass	0	formyltransferase and cyclohydrolase
223	Chemical Probes Portal	class	0	GPCR
223	Chemical Probes Portal	subClass	0	Cholecystokinin Receptor
224	Chemical Probes Portal	class	0	GPCR
