inchikey	name	smiles	chembl_id	cansar_id	portal_path	published_date	pains	toxicophore	rating_in_cell	rating_in_organism	rating_count	reference	source_db
GCBJDOWIQHMCMR-UHFFFAOYSA-N	Kinome_1199	O=C(O)c1ccccc1Nc1ccnc(Nc2ccc3[nH]ncc3c2)n1		1705658	unsuitables/kinome1199	2016-12-09	No	No	0	0	0		Chemical Probes Portal
KRIUNPBAQZGFQA-UHFFFAOYSA-N	ZINC04335977	Oc1c2ccccc2c2c3c(cccc13)N=N2		1049783	unsuitables/zinc04335977	2016-12-09	No	Yes	0	0	0		Chemical Probes Portal
HJGFPNFAFSFDNN-UHFFFAOYSA-N	CX5011	C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1		1798236	unsuitables/cx5011	2016-12-09	No	No	0	0	0		Chemical Probes Portal
BPNUQXPIQBZCMR-IBGZPJMESA-N	A-674563	Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12		1807394	unsuitables/674563	2016-12-08	No	No	0	0	0		Chemical Probes Portal
RFAXLXKIAKIUDT-UHFFFAOYSA-N	IPA-3	Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12		1503412	unsuitables/ipa-3	2017-01-04	No	Yes	0	0	0		Chemical Probes Portal
KRMDCWKBEZIMAB-UHFFFAOYSA-N	Amitriptyline	CN(C)CCC=C1c2ccccc2CCc2ccccc21		1253640	unsuitables/amitriptyline	2016-12-09	Yes	No	0	0	0		Chemical Probes Portal
DDLZLOKCJHBUHD-WAVHTBQISA-N	6-Bromoindirubin-3'-oxime	O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2/C1=N\O		1322637	unsuitables/6-bromoindirubin-3-oxime	2016-12-09	No	Yes	0	0	0		Chemical Probes Portal
UUADYKVKJIMIPA-UHFFFAOYSA-N	Enzastaurin hydrochloride	Cl.Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21	CHEMBL2107337	826365	unsuitables/enzastaurin-hydrochloride	2016-12-09	No	Yes	0	0	0		Chemical Probes Portal
KSOVGRCOLZZTPF-UHFFFAOYSA-N	Kinome_635	Cc1cc(Nc2ncc(F)c(NC3C4C=CC(C4)C3C(N)=O)n2)ccc1N1CCN(C)CC1	CHEMBL1967878	521608	unsuitables/kinome635	2016-12-09	Yes	No	0	0	0		Chemical Probes Portal
ZVWRFVCNQOECJS-UHFFFAOYSA-N	Kinome_1202	Cc1cnc(Nc2cccc(S(N)(=O)=O)c2)nc1Nc1ccc(OCC(N)=O)cc1	CHEMBL1988838	292199	unsuitables/kinome1202	2016-12-09	No	No	0	0	0		Chemical Probes Portal
VADOZMZXXRBXNY-UHFFFAOYSA-N	CHEMBL3115681	CN1CCN(c2ccc(Nc3ncc4cc(C#N)c(=O)n(C5CCCC5)c4n3)cc2)CC1	CHEMBL3115681	462817	unsuitables/chembl3115681	2016-12-09	Yes	No	0	0	0		Chemical Probes Portal
UIARLYUEJFELEN-LROUJFHJSA-N	Lestaurtinib	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O	CHEMBL603469	578962	unsuitables/lestaurtinib	2016-12-09	No	No	0	0	0		Chemical Probes Portal
BSFNGHCTZDCQBF-UHFFFAOYSA-N	Kinome_1901	NC(COc1cncc(-c2ccc3c(c2)C(=Cc2ccco2)C(=O)N3)c1)Cc1c[nH]c2ccccc12	CHEMBL2001751	698309	unsuitables/kinome1901	2016-12-09	No	No	0	0	0		Chemical Probes Portal
LYNBNVBMAGDJRW-UHFFFAOYSA-N	4-anilinopyrimidine 8c	O=C(O)c1ccccc1Nc1ccnc(Nc2cccc(O)c2)n1		1493914	unsuitables/4-anilinopyrimidine-8c	2016-12-09	No	No	0	0	0		Chemical Probes Portal
GCYXEGSPUDSZJY-PTNGSMBKSA-N	Gw8510	O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1	CHEMBL1276446	352155	unsuitables/gw8510	2016-12-09	Yes	Yes	0	0	0		Chemical Probes Portal
YMIJUBCSOKSFRU-UHFFFAOYSA-N	4-anilinopyrimidine 15a	O=C(O)c1ccccc1Nc1ccnc(Nc2ccc3cn[nH]c3c2)n1		1699687	unsuitables/4-anilinopyrimidine-15a	2016-12-09	No	No	0	0	0		Chemical Probes Portal
KLBQZWRITKRQQV-UHFFFAOYSA-N	Thioridazine	CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2		1583578	unsuitables/thioridazine	2016-12-09	No	No	0	0	0		Chemical Probes Portal
GPSZYOIFQZPWEJ-UHFFFAOYSA-N	CYC-116	Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1		1709990	unsuitables/cyc-116	2016-12-09	Yes	No	0	0	0		Chemical Probes Portal
