inchikey	organism	dose_value	dose_unit	route	dose_raw	source_db	source
JKCSCHXVWPSGBG-OPKPGBGESA-N	Mouse	25	mg/kg		25 mg/Kg, 50 mg/Kg, 100 mg/Kg	Chemical Probes Portal	SD-36
JKCSCHXVWPSGBG-OPKPGBGESA-N	Mouse	50	mg/kg		25 mg/Kg, 50 mg/Kg, 100 mg/Kg	Chemical Probes Portal	SD-36
JKCSCHXVWPSGBG-OPKPGBGESA-N	Mouse	100	mg/kg		25 mg/Kg, 50 mg/Kg, 100 mg/Kg	Chemical Probes Portal	SD-36
MPMKMQHJHDHPBE-RUZDIDTESA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 5-30 mg/Kg PO	Chemical Probes Portal	GLPG0974
MPMKMQHJHDHPBE-RUZDIDTESA-N	Rat	5	mg/kg	PO	1 mg/Kg IV, 5-30 mg/Kg PO	Chemical Probes Portal	GLPG0974
HNLHOKSDTBAERS-CWIPYCOQSA-N	Other	0.5	mg/kg	IV	0.5 mg/Kg (IV), 5 mg/Kg (PO)	Chemical Probes Portal	AM-6761
HNLHOKSDTBAERS-CWIPYCOQSA-N	Other	5	mg/kg	PO	0.5 mg/Kg (IV), 5 mg/Kg (PO)	Chemical Probes Portal	AM-6761
MXUSGDMIHGLCNC-HNNXBMFYSA-N	Other	10	mg/kg	PO	10 mg/Kg PO, 3 mg/Kg IV	Chemical Probes Portal	PT2399
MXUSGDMIHGLCNC-HNNXBMFYSA-N	Other	3	mg/kg	IV	10 mg/Kg PO, 3 mg/Kg IV	Chemical Probes Portal	PT2399
LXRZVMYMQHNYJB-UNXOBOICSA-N	Rat				1 (IV), 10 (PO) mg/Kg	Chemical Probes Portal	TAK-981
RUPXKSLKGSSZCP-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	TUG-469
ONBSHRSJOPSEGS-INIZCTEOSA-N	Other	3	mg/kg	IV	3 mg/Kg (IV), 10 mg/Kg (PO)	Chemical Probes Portal	PT2385
ONBSHRSJOPSEGS-INIZCTEOSA-N	Other	10	mg/kg	PO	3 mg/Kg (IV), 10 mg/Kg (PO)	Chemical Probes Portal	PT2385
TVTXCJFHQKSQQM-LJQIRTBHSA-N	Mouse	50	mg/kg	PO	50 mg/kg (oral); 5 mg/kg (IV)	Chemical Probes Portal	RG7388
TVTXCJFHQKSQQM-LJQIRTBHSA-N	Mouse	5	mg/kg	IV	50 mg/kg (oral); 5 mg/kg (IV)	Chemical Probes Portal	RG7388
GBJVVSCPOBPEIT-UHFFFAOYSA-N	Mouse	150	mg/kg		150 mg/kg	Chemical Probes Portal	AZD1152
NBOJHRYUGLRASX-UHFFFAOYSA-N	Other	10	mg/kg	IP	10 mg/Kg IP, 1-30 mg/Kg PO	Chemical Probes Portal	PF-3845
NBOJHRYUGLRASX-UHFFFAOYSA-N	Other	1	mg/kg	PO	10 mg/Kg IP, 1-30 mg/Kg PO	Chemical Probes Portal	PF-3845
IDKAKZRYYDCJDU-HBMMIIHUSA-N	Mouse	25	mg/kg		25-200 mg/kg	Chemical Probes Portal	MI-77301
SGIWFELWJPNFDH-UHFFFAOYSA-N	Mouse	10	mg/kg	PO	10 mg/Kg PO, 20 mg/Kg IP, 50 mg/Kg IP	Chemical Probes Portal	T0901317
SGIWFELWJPNFDH-UHFFFAOYSA-N	Mouse	20	mg/kg	IP	10 mg/Kg PO, 20 mg/Kg IP, 50 mg/Kg IP	Chemical Probes Portal	T0901317
SGIWFELWJPNFDH-UHFFFAOYSA-N	Mouse	50	mg/kg	IP	10 mg/Kg PO, 20 mg/Kg IP, 50 mg/Kg IP	Chemical Probes Portal	T0901317
QADPYRIHXKWUSV-UHFFFAOYSA-N	Mouse				5 IV, 20 PO mg/Kg	Chemical Probes Portal	BGJ-398
YYDUWLSETXNJJT-MTJSOVHGSA-N	Other	50	mg/kg		50-100 mg/Kg	Chemical Probes Portal	GNF-5837
BLNNXJOEJRKHAM-UHFFFAOYSA-N	Mouse	30	ug		30 ug	Chemical Probes Portal	UCSF4226
ZMNWFTYYYCSSTF-SOAUALDESA-N	Other	10	mg/kg	PO	10 mg/Kg PO, 5 mg/Kg IV	Chemical Probes Portal	A-770041
ZMNWFTYYYCSSTF-SOAUALDESA-N	Other	5	mg/kg	IV	10 mg/Kg PO, 5 mg/Kg IV	Chemical Probes Portal	A-770041
LXFOLMYKSYSZQS-XKHGBIBOSA-N	Other	20	mg/kg		20 mg/kg (mice), 1 mg/kg (rat)	Chemical Probes Portal	EPZ-5676
LXFOLMYKSYSZQS-XKHGBIBOSA-N	Other	1	mg/kg		20 mg/kg (mice), 1 mg/kg (rat)	Chemical Probes Portal	EPZ-5676
XQFINGFCBFHOPE-WXUXXXNLSA-N	Other	30	mg/kg		30 mg/kg - 300 mg/kg (R), 125 - 1000 mg/kg (M)	Chemical Probes Portal	EPZ011989
XQFINGFCBFHOPE-WXUXXXNLSA-N	Other	300	mg/kg		30 mg/kg - 300 mg/kg (R), 125 - 1000 mg/kg (M)	Chemical Probes Portal	EPZ011989
XQFINGFCBFHOPE-WXUXXXNLSA-N	Other	125	mg/kg		30 mg/kg - 300 mg/kg (R), 125 - 1000 mg/kg (M)	Chemical Probes Portal	EPZ011989
RDALZZCKQFLGJP-UHFFFAOYSA-N	Mouse				3 (IV)- 100 (PO) mg/Kg	Chemical Probes Portal	CB-5083
JBHLOPKIPKTRSU-UHFFFAOYSA-N	Other	1	mg/kg		1-10 mg/Kg	Chemical Probes Portal	THPP-1
LQSHXYHWYGKAMX-FQEVSTJZSA-N	Other	5	mg/kg		5 mg/Kg, Reviewer suggests higher than 100-200 mg/Kg PO	Chemical Probes Portal	NIK-SMI1
LQSHXYHWYGKAMX-FQEVSTJZSA-N	Other	100	mg/kg	PO	5 mg/Kg, Reviewer suggests higher than 100-200 mg/Kg PO	Chemical Probes Portal	NIK-SMI1
AQTPWCUIYUOEMG-INIZCTEOSA-N	Mouse	3	mg/kg		3 mg/Kg	Chemical Probes Portal	GSK2194069
JFGOILLZIAIYGA-UHFFFAOYSA-N	Mouse	25	mg/kg		25 mg/Kg	Chemical Probes Portal	SS-208
RPMGXDCRCWWCRY-JTQLQIEISA-N	Other	25	mg/kg		25 mg/Kg, 250 mg/Kg	Chemical Probes Portal	BAY-707
