inchikey	portal_path	published_date	pains	toxicophore	cansar_id	rating_in_cell	rating_in_organism	rating_count	reference	source_db	source	xref_id
KRIUNPBAQZGFQA-UHFFFAOYSA-N	unsuitables/zinc04335977	2016-12-09	No	Yes	1049783	0	0	0		Chemical Probes Portal	ZINC04335977	https://www.chemicalprobes.org/
HJGFPNFAFSFDNN-UHFFFAOYSA-N	unsuitables/cx5011	2016-12-09	No	No	1798236	0	0	0		Chemical Probes Portal	CX5011	https://www.chemicalprobes.org/
BPNUQXPIQBZCMR-IBGZPJMESA-N	unsuitables/674563	2016-12-08	No	No	1807394	0	0	0		Chemical Probes Portal	A-674563	https://www.chemicalprobes.org/
RFAXLXKIAKIUDT-UHFFFAOYSA-N	unsuitables/ipa-3	2017-01-04	No	Yes	1503412	0	0	0		Chemical Probes Portal	IPA-3	https://www.chemicalprobes.org/
KRMDCWKBEZIMAB-UHFFFAOYSA-N	unsuitables/amitriptyline	2016-12-09	Yes	No	1253640	0	0	0		Chemical Probes Portal	Amitriptyline	https://www.chemicalprobes.org/
DDLZLOKCJHBUHD-WAVHTBQISA-N	unsuitables/6-bromoindirubin-3-oxime	2016-12-09	No	Yes	1322637	0	0	0		Chemical Probes Portal	6-Bromoindirubin-3'-oxime	https://www.chemicalprobes.org/
UUADYKVKJIMIPA-UHFFFAOYSA-N	unsuitables/enzastaurin-hydrochloride	2016-12-09	No	Yes	826365	0	0	0		Chemical Probes Portal	Enzastaurin hydrochloride	https://www.chemicalprobes.org/
KSOVGRCOLZZTPF-UHFFFAOYSA-N	unsuitables/kinome635	2016-12-09	Yes	No	521608	0	0	0		Chemical Probes Portal	Kinome_635	https://www.chemicalprobes.org/
ZVWRFVCNQOECJS-UHFFFAOYSA-N	unsuitables/kinome1202	2016-12-09	No	No	292199	0	0	0		Chemical Probes Portal	Kinome_1202	https://www.chemicalprobes.org/
VADOZMZXXRBXNY-UHFFFAOYSA-N	unsuitables/chembl3115681	2016-12-09	Yes	No	462817	0	0	0		Chemical Probes Portal	CHEMBL3115681	https://www.chemicalprobes.org/
UIARLYUEJFELEN-LROUJFHJSA-N	unsuitables/lestaurtinib	2016-12-09	No	No	578962	0	0	0		Chemical Probes Portal	Lestaurtinib	https://www.chemicalprobes.org/
BSFNGHCTZDCQBF-UHFFFAOYSA-N	unsuitables/kinome1901	2016-12-09	No	No	698309	0	0	0		Chemical Probes Portal	Kinome_1901	https://www.chemicalprobes.org/
LYNBNVBMAGDJRW-UHFFFAOYSA-N	unsuitables/4-anilinopyrimidine-8c	2016-12-09	No	No	1493914	0	0	0		Chemical Probes Portal	4-anilinopyrimidine 8c	https://www.chemicalprobes.org/
GCYXEGSPUDSZJY-PTNGSMBKSA-N	unsuitables/gw8510	2016-12-09	Yes	Yes	352155	0	0	0		Chemical Probes Portal	Gw8510	https://www.chemicalprobes.org/
YMIJUBCSOKSFRU-UHFFFAOYSA-N	unsuitables/4-anilinopyrimidine-15a	2016-12-09	No	No	1699687	0	0	0		Chemical Probes Portal	4-anilinopyrimidine 15a	https://www.chemicalprobes.org/
KLBQZWRITKRQQV-UHFFFAOYSA-N	unsuitables/thioridazine	2016-12-09	No	No	1583578	0	0	0		Chemical Probes Portal	Thioridazine	https://www.chemicalprobes.org/
GPSZYOIFQZPWEJ-UHFFFAOYSA-N	unsuitables/cyc-116	2016-12-09	Yes	No	1709990	0	0	0		Chemical Probes Portal	CYC-116	https://www.chemicalprobes.org/
BIIVYFLTOXDAOV-YVEFUNNKSA-N	unsuitables/flavopiridol	2016-12-09	No	No	1905588	0	0	0		Chemical Probes Portal	Flavopiridol	https://www.chemicalprobes.org/
OUSFTKFNBAZUKL-UHFFFAOYSA-N	unsuitables/bms-387032	2016-12-09	No	No	1596650	0	0	0		Chemical Probes Portal	BMS-387032	https://www.chemicalprobes.org/
JPYQFPGTGGLOMD-UHFFFAOYSA-N	unsuitables/chembl1649761	2016-12-09	No	No	1643156	0	0	0		Chemical Probes Portal	CHEMBL1649761	https://www.chemicalprobes.org/
BQDHCGJUSXMIIS-UHFFFAOYSA-N	unsuitables/schembl3814469	2016-12-09	No	No	3312912	0	0	0		Chemical Probes Portal	SCHEMBL3814469	https://www.chemicalprobes.org/
AFSDNFLWKVMVRB-UHFFFAOYSA-N	unsuitables/ellagic-acid	2016-12-09	Yes	Yes	1305685	0	0	0		Chemical Probes Portal	Ellagic acid	https://www.chemicalprobes.org/
AYQYIBVVCJFCAE-KSEXSDGBSA-N	unsuitables/c646	2016-12-13	Yes	No	654302	0	0	0		Chemical Probes Portal	C646	https://www.chemicalprobes.org/
XHBVYDAKJHETMP-UHFFFAOYSA-N	unsuitables/dorsomorphin	2016-12-15	No	No	252407	0	0	0		Chemical Probes Portal	Dorsomorphin	https://www.chemicalprobes.org/
SHPFDGWALWEPGS-UHFFFAOYSA-N	unsuitables/ki-20227	2017-03-02	No	No	592278	0	0	0		Chemical Probes Portal	Ki-20227	https://www.chemicalprobes.org/
MLKHXLFEYOOYEY-NVNXTCNLSA-N	unsuitables/k00564a	2021-02-18	Yes	No	1588377	0	0	0		Chemical Probes Portal	K00564a	https://www.chemicalprobes.org/
FMETVQKSDIOGPX-UHFFFAOYSA-N	unsuitables/lck-inhibitor	2017-03-02	No	No	1889063	0	0	0		Chemical Probes Portal	Lck inhibitor	https://www.chemicalprobes.org/
SXOZSDJHGMAEGZ-IGKKHSBFSA-N	unsuitables/sl0101	2017-03-02	No	No	716875	0	0	0		Chemical Probes Portal	SL0101	https://www.chemicalprobes.org/
BLQYVHBZHAISJM-CMDGGOBGSA-N	unsuitables/enmd-2076	2017-02-01	No	No	1907784	0	0	0		Chemical Probes Portal	ENMD-2076	https://www.chemicalprobes.org/
CXQHYVUVSFXTMY-UHFFFAOYSA-N	unsuitables/foretinib	2017-02-01	No	No	916365	0	0	0		Chemical Probes Portal	Foretinib	https://www.chemicalprobes.org/
XZXHXSATPCNXJR-UHFFFAOYSA-N	unsuitables/ninetedanib	2017-02-01	No	Yes	826661	0	0	0		Chemical Probes Portal	Ninetedanib	https://www.chemicalprobes.org/
IFPPYSWJNWHOLQ-UHFFFAOYSA-N	unsuitables/pd166285	2017-02-01	No	No	614800	0	0	0		Chemical Probes Portal	PD166285	https://www.chemicalprobes.org/
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	unsuitables/dasatinib	2017-02-01	No	No	501089	0	0	0		Chemical Probes Portal	Dasatinib	https://www.chemicalprobes.org/
GCIKSSRWRFVXBI-UHFFFAOYSA-N	unsuitables/tozasertib	2017-02-01	No	No	567748	0	0	0		Chemical Probes Portal	Tozasertib	https://www.chemicalprobes.org/
JJWMRRNGWSITSQ-UHFFFAOYSA-N	unsuitables/upf1069	2017-01-31	No	No	1302916	0	0	0		Chemical Probes Portal	UPF1069	https://www.chemicalprobes.org/
HAYYBYPASCDWEQ-UHFFFAOYSA-N	unsuitables/entrectinib	2017-02-01	No	No	849266	0	0	0		Chemical Probes Portal	Entrectinib	https://www.chemicalprobes.org/
GKEYKDOLBLYGRB-LGMDPLHJSA-N	unsuitables/famitinib	2017-02-01	No	No	265157	0	0	0		Chemical Probes Portal	Famitinib	https://www.chemicalprobes.org/
JLYAXFNOILIKPP-KXQOOQHDSA-N	unsuitables/navitoclax	2017-01-31	No	Yes	997861	0	0	0		Chemical Probes Portal	Navitoclax	https://www.chemicalprobes.org/
UQTPDWDAYHAZNT-AWEZNQCLSA-N	unsuitables/ns-018	2017-02-01	No	No	147527	0	0	0		Chemical Probes Portal	NS-018	https://www.chemicalprobes.org/
WVXNSAVVKYZVOE-UHFFFAOYSA-N	unsuitables/rebastinib	2017-02-01	No	No	848780	0	0	0		Chemical Probes Portal	Rebastinib	https://www.chemicalprobes.org/
MLDQJTXFUGDVEO-UHFFFAOYSA-N	unsuitables/sorafenib	2017-02-01	No	No	429624	0	0	0		Chemical Probes Portal	Sorafenib	https://www.chemicalprobes.org/
UYJZZVDLGDDTCL-UHFFFAOYSA-N	unsuitables/pj34	2017-01-31	No	No	1321633	0	0	0		Chemical Probes Portal	PJ34	https://www.chemicalprobes.org/
WVMANZPBOBRWCB-UHFFFAOYSA-N	unsuitables/aloisine	2017-02-01	No	No	1264460	0	0	0		Chemical Probes Portal	Aloisine	https://www.chemicalprobes.org/
QYPJBTMRYKRTFG-UHFFFAOYSA-N	unsuitables/maritoclax	2017-03-13	No	No	466403	0	0	0		Chemical Probes Portal	Maritoclax	https://www.chemicalprobes.org/
UUECJWRVDTUDCB-ISLYRVAYSA-N	unsuitables/ischemin	2017-03-07	Yes	Yes	1453644	0	0	0		Chemical Probes Portal	Ischemin	https://www.chemicalprobes.org/
MDOJTZQKHMAPBK-UHFFFAOYSA-N	unsuitables/iniparib	2017-03-02	No	Yes	24483	0	0	0		Chemical Probes Portal	Iniparib	https://www.chemicalprobes.org/
LLEJIEBFSOEYIV-UHFFFAOYSA-N	unsuitables/chelerythrine	2017-03-02	No	No	1688064	0	0	0		Chemical Probes Portal	Chelerythrine	https://www.chemicalprobes.org/
PBJKWGWHZVXBGU-UHFFFAOYSA-N	unsuitables/apogossypol	2017-03-02	Yes	Yes	572876	0	0	0		Chemical Probes Portal	Apogossypol	https://www.chemicalprobes.org/
SXJDCULZDFWMJC-UHFFFAOYSA-N	unsuitables/ha14-1	2017-03-02	No	No	1596359	0	0	0		Chemical Probes Portal	HA14-1	https://www.chemicalprobes.org/
HYTMVPCGCCQGST-JGUILPGDSA-N	unsuitables/bxi-61	2017-03-02	Yes	Yes	234445	0	0	0		Chemical Probes Portal	BXI-61	https://www.chemicalprobes.org/
PQAPVTKIEGUPRN-UHFFFAOYSA-N	unsuitables/tw37	2017-03-02	Yes	Yes	839902	0	0	0		Chemical Probes Portal	TW37	https://www.chemicalprobes.org/
WUGANDSUVKXMEC-UHFFFAOYSA-N	unsuitables/umi-77	2017-03-02	Yes	No	1829299	0	0	0		Chemical Probes Portal	UMI-77	https://www.chemicalprobes.org/
YPSXFMHXRZAGTG-UHFFFAOYSA-N	unsuitables/bcl-2-inhibitor	2017-03-02	No	Yes	3312891	0	0	0		Chemical Probes Portal	Bcl-2 Inhibitor	https://www.chemicalprobes.org/
ILMNSCQOSGKTNZ-NKWVEPMBSA-N	unsuitables/adenosine-dialdehyde	2017-03-07	No	Yes	1146558	0	0	0		Chemical Probes Portal	Adenosine dialdehyde	https://www.chemicalprobes.org/
NAWIFPQLACUTSO-MXGDDHKLSA-N	unsuitables/mdl-28842	2017-03-07	No	Yes	1144457	0	0	0		Chemical Probes Portal	MDL 28842	https://www.chemicalprobes.org/
MUJOCHRZXRZONW-FOCLMDBBSA-N	unsuitables/methylstat	2017-03-07	No	Yes	719521	0	0	0		Chemical Probes Portal	Methylstat	https://www.chemicalprobes.org/
AELCINSCMGFISI-DTWKUNHWSA-N	unsuitables/tranylcypromine	2017-03-07	No	No	45808	0	0	0		Chemical Probes Portal	Tranylcypromine	https://www.chemicalprobes.org/
