inchikey	target_key	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_db	source	source_xref	xref_id
DRLCSJFKKILATL-YWCVFVGNSA-N	Q00987	inhibitor	IC50		9.1	nM	cell	In SJSA-1 EdU proliferation assay.				Chemical Probes Portal	AMG232	amg232	https://www.chemicalprobes.org/
DRLCSJFKKILATL-YWCVFVGNSA-N	Q00987	inhibitor	IC50		10	nM	cell	In HCT-116 cells, AMG232 selectively inhibited the proliferation of p53 wild-type cells (IC50=10 nM compared with >25 uM for mutant p53 cells).				Chemical Probes Portal	AMG232	amg232	https://www.chemicalprobes.org/
HXZRMADPDYFMEB-FTTMEYFSSA-N	P63267	actin disruptor			7	nM	binding	"Isothermal calorimetry (ITC) assays with G-actin and ATP.
In G-actin polymerization experiments, Bistramide A decreased polymerization at concentrations 50-400 nM. In F-actin depolymerization assays, Bistramide A increased depolymerization at concentrations 120-450 nM. These results were confirmed in later experiments using TIRF microscopy (see PNAS paper)."				Chemical Probes Portal	Bistramide A	bistramide	https://www.chemicalprobes.org/
HXZRMADPDYFMEB-FTTMEYFSSA-N	P63267	actin disruptor	GI50		20.4	nM	cell	In A549 cell lysates, biotinylated Bistramide A interacted with a single protein that was shown to be beta-actin by MS. Covalently modified actin was detected in A549 cells treated with BODIPY-conjugated Bistramide A.				Chemical Probes Portal	Bistramide A	bistramide	https://www.chemicalprobes.org/
QFJCIRLUMZQUOT-HPLJOQBZSA-N	P42345	inhibitor			0.2	nM	biochemical	Biochemical assay (FKBP1A)				Chemical Probes Portal	Rapamycin	rapamycin	https://www.chemicalprobes.org/
QFJCIRLUMZQUOT-HPLJOQBZSA-N	P42345	inhibitor	IC50		0.1	nM	cell	Inhibition of G1 progression in MG-63 cells				Chemical Probes Portal	Rapamycin	rapamycin	https://www.chemicalprobes.org/
ZDNGJXBUEQNFBQ-GCJKJVERSA-N	Q14145	inhibitor			1.3	nM	binding	Isothermal Titration Calorimetry (ITC)				Chemical Probes Portal	KI-696	ki-696	https://www.chemicalprobes.org/
ZDNGJXBUEQNFBQ-GCJKJVERSA-N	Q14145	inhibitor	EC50		12	nM	cell	Beas2B cells treated with compound and NQO1 activity measured after 48 hrs using MTT. NQO1 is an NRF2-dependent gene.				Chemical Probes Portal	KI-696	ki-696	https://www.chemicalprobes.org/
QJJXYPPXXYFBGM-LFZNUXCKSA-N	P62942	inhibitor			0.4	nM	biochemical	Spectrophotometric Assay (Fisher Assay)				Chemical Probes Portal	Tacrolimus	tacrolimus	https://www.chemicalprobes.org/
QJJXYPPXXYFBGM-LFZNUXCKSA-N	P62942	inhibitor	IC50		0.19	nM	cell	IL-2 reporter gene assay				Chemical Probes Portal	Tacrolimus	tacrolimus	https://www.chemicalprobes.org/
