target_key	level	ordinal	value	source_db	source
P19634	class	0	Transporter	Chemical Probes Portal	
P19634	class	1	Ion Channel	Chemical Probes Portal	
P19634	subclass	0	Solute Carrier	Chemical Probes Portal	
P19634	subclass	1	Cation Proton Antiporter	Chemical Probes Portal	
P19784	class	0	Kinase	Chemical Probes Portal	
P19784	subclass	0	Ser/Thr kinase	Chemical Probes Portal	
P19784	subclass	1	CMGC	Chemical Probes Portal	
P19793	class	0	NHR	Chemical Probes Portal	
P19793	subclass	0	Retinoic acid receptor	Chemical Probes Portal	
P20292	class	0	Enzyme	Chemical Probes Portal	
P20292	class	1	Membrane protein	Chemical Probes Portal	
P20292	subclass	0	5-lipoxygenase	Chemical Probes Portal	
P20292	subclass	1	Five-Lipoxygenase Activating Protein	Chemical Probes Portal	
P20309	class	0	GPCR	Chemical Probes Portal	
P20309	subclass	0	Muscarinic Receptor	Chemical Probes Portal	
P20701	class	0	Integrin	Chemical Probes Portal	
P21452	class	0	GPCR	Chemical Probes Portal	
P21452	subclass	0	Tachykinin receptor	Chemical Probes Portal	
P21453	class	0	GPCR	Chemical Probes Portal	
P21453	subclass	0	Sphingosine receptor	Chemical Probes Portal	
P21554	class	0	GPCR	Chemical Probes Portal	
P21554	subclass	0	Cannabinoid Receptor	Chemical Probes Portal	
P21554	subclass	1	Cannabinoid receptor	Chemical Probes Portal	
P21589	class	0	Other	Chemical Probes Portal	
P21589	subclass	0	Membrane Protein	Chemical Probes Portal	
P21675	class	0	Epigenetic	Chemical Probes Portal	
P21675	subclass	0	Bromodomain	Chemical Probes Portal	
P21730	class	0	GPCR	Chemical Probes Portal	
P21730	subclass	0	Complement peptide receptor	Chemical Probes Portal	
P21802	class	0	Kinase	Chemical Probes Portal	
P21802	subclass	0	TK	Chemical Probes Portal	
P21802	subclass	1	Tyrosine Kinase	Chemical Probes Portal	
P21860	class	0	Protein kinase	Chemical Probes Portal	
P21860	subclass	0	RTK	Chemical Probes Portal	
P21917	class	0	GPCR	Chemical Probes Portal	
P21917	subclass	0	Dopamine receptor	Chemical Probes Portal	
P21917	subclass	1	Dopamine D4 receptors	Chemical Probes Portal	
P22314	class	0	Other post-translational modification	Chemical Probes Portal	
P22314	class	1	Enzyme	Chemical Probes Portal	
P22314	subclass	0	Ubiquitin-conjugating enzyme	Chemical Probes Portal	
P22413	class	0	Enzyme	Chemical Probes Portal	
P22413	subclass	0	phosphodiesterase	Chemical Probes Portal	
P22455	class	0	Protein kinase	Chemical Probes Portal	
P22455	class	1	Kinase	Chemical Probes Portal	
P22455	subclass	0	TK	Chemical Probes Portal	
P22455	subclass	1	Tyrosine kinase	Chemical Probes Portal	
P22455	subclass	2	Tyrosine Kinase	Chemical Probes Portal	
P22607	class	0	Kinase	Chemical Probes Portal	
P22607	subclass	0	TK	Chemical Probes Portal	
P22607	subclass	1	Tyrosine Kinase	Chemical Probes Portal	
P22888	class	0	GPCR	Chemical Probes Portal	
P22888	subclass	0	Luteinizing hormone receptor	Chemical Probes Portal	
P22888	subclass	1	Hormone Receptor	Chemical Probes Portal	
P23219	class	0	Enzyme	Chemical Probes Portal	
P23219	subclass	0	Synthase	Chemical Probes Portal	
P23458	class	0	Kinase	Chemical Probes Portal	
P23458	subclass	0	TK	Chemical Probes Portal	
P23458	subclass	1	Tyrosine kinase	Chemical Probes Portal	
P23743	class	0	Kinase	Chemical Probes Portal	
P23743	subclass	0	Lipid kinase	Chemical Probes Portal	
P23946	class	0	Enzyme	Chemical Probes Portal	
P23946	subclass	0	Peptidase	Chemical Probes Portal	
P24530	class	0	GPCR	Chemical Probes Portal	
P24530	subclass	0	Endothelin Receptor	Chemical Probes Portal	
P24941	class	0	Kinase	Chemical Probes Portal	
P24941	subclass	0	CMGC	Chemical Probes Portal	
P25090	class	0	GPCR	Chemical Probes Portal	
P25090	subclass	0	Formyl peptide receptor	Chemical Probes Portal	
P25098	class	0	Kinase	Chemical Probes Portal	
P25098	subclass	0	AGC	Chemical Probes Portal	
P25100	class	0	GPCR	Chemical Probes Portal	
P25100	subclass	0	Alpha-Adrenergic Receptor	Chemical Probes Portal	
P25101	class	0	GPCR	Chemical Probes Portal	
P25101	subclass	0	Endothelin Receptor	Chemical Probes Portal	
P25103	class	0	GPCR	Chemical Probes Portal	
P25103	subclass	0	NK-1 Receptor	Chemical Probes Portal	
P25105	class	0	GPCR	Chemical Probes Portal	
P25105	subclass	0	Platelet-activating factor receptor	Chemical Probes Portal	
P25116	class	0	GPCR	Chemical Probes Portal	
P25116	subclass	0	Trombin Receptor	Chemical Probes Portal	
P25440	class	0	Epigenetic	Chemical Probes Portal	
P25440	subclass	0	Bromodomain	Chemical Probes Portal	
P25774	class	0	Enzyme	Chemical Probes Portal	
P25774	subclass	0	Peptidase	Chemical Probes Portal	
P25929	class	0	GPCR	Chemical Probes Portal	
P25929	subclass	0	Neuropeptide Y receptor	Chemical Probes Portal	
P26358	class	0	Epigenetic	Chemical Probes Portal	
P26358	subclass	0	Methyltransferase	Chemical Probes Portal	
P27361	class	0	Kinase	Chemical Probes Portal	
P27361	subclass	0	CMGC	Chemical Probes Portal	
P28065	class	0	Protein metabolism	Chemical Probes Portal	
P28065	subclass	0	Proteasome subunit	Chemical Probes Portal	
P28221	class	0	GPCR	Chemical Probes Portal	
P28221	subclass	0	Serotonin Receptor	Chemical Probes Portal	
P28223	class	0	GPCR	Chemical Probes Portal	
P28223	subclass	0	Serotonin Receptor	Chemical Probes Portal	
P28335	class	0	GPCR	Chemical Probes Portal	
P28335	subclass	0	Serotonin Receptor	Chemical Probes Portal	
P28347	class	0	Epigenetic	Chemical Probes Portal	
P28347	subclass	0	Transcription factor	Chemical Probes Portal	
P28347	subclass	1	Transcription Factor	Chemical Probes Portal	
P28482	class	0	Kinase	Chemical Probes Portal	
P28482	subclass	0	CMGC	Chemical Probes Portal	
P28702	class	0	NHR	Chemical Probes Portal	
P28702	subclass	0	Retinoic acid receptor	Chemical Probes Portal	
P28799	class	0	Glycoprotein	Chemical Probes Portal	
P28799	subclass	0	Granulin family	Chemical Probes Portal	
P28845	class	0	Enzyme	Chemical Probes Portal	
P28845	subclass	0	Dehydrogenase	Chemical Probes Portal	
P29274	class	0	GPCR	Chemical Probes Portal	
P29274	subclass	0	Adenosine receptor	Chemical Probes Portal	
P29275	class	0	GPCR	Chemical Probes Portal	
P29275	subclass	0	Adenosine receptor	Chemical Probes Portal	
P29371	class	0	GPCR	Chemical Probes Portal	
P29371	subclass	0	NK-3 Receptor	Chemical Probes Portal	
P29597	class	0	Kinase	Chemical Probes Portal	
P29597	subclass	0	Tyrosine Kinase	Chemical Probes Portal	
P29597	subclass	1	Tyrosine kinase	Chemical Probes Portal	
P30291	class	0	Kinase	Chemical Probes Portal	
P30291	subclass	0	Ser/Thr kinase	Chemical Probes Portal	
P30291	subclass	1	Ser/Thr Protein Kinase	Chemical Probes Portal	
P30419	class	0	Other post-translational modification	Chemical Probes Portal	
P30419	subclass	0	Acyltransferase	Chemical Probes Portal	
P30518	class	0	GPCR	Chemical Probes Portal	
P30518	subclass	0	Vasorepressin receptor	Chemical Probes Portal	
P30530	class	0	Kinase	Chemical Probes Portal	
