resource	xref	inchikey
canSAR	3985	YWPMKTWUFVOFPL-UHFFFAOYSA-N
canSAR	1068678	ISZWRZGKEWQACU-UHFFFAOYSA-N
canSAR	1172273	PVFGJHYLIHMCQD-UHFFFAOYSA-N
canSAR	1161709	SQVXWIUVAILQRH-UHFFFAOYSA-N
canSAR	344422	ZGSXEXBYLJIOGF-ALFLXDJESA-N
canSAR	1499401	PISBNXWDAGANOP-UHFFFAOYSA-N
canSAR	1903925	HGEPGGJUGUMFHT-UHFFFAOYSA-N
canSAR	1696288	YQSZNYLPVBOGPO-UHFFFAOYSA-N
canSAR	1401652	SDXBGOVSVBZDFL-UHFFFAOYSA-N
canSAR	99599	UVSVTDVJQAJIFG-VURMDHGXSA-N
canSAR	56360	ZRWNRAJCPNLYAK-UHFFFAOYSA-N
canSAR	1107542	SQCWABLHLAOJBR-UHFFFAOYSA-N
canSAR	3312888	LPTGUSPVGHUCQF-UHFFFAOYSA-N
canSAR	137938	ATUUNJCZCOMUKD-OKILXGFUSA-N
canSAR	1861430	AEENEMOEBJOKGN-UHFFFAOYSA-N
canSAR	2968796	XKBSPAZCFAIBJL-OAHLLOKOSA-N
canSAR	2913055	KMESAVNRPDKZCQ-UHFFFAOYSA-N
canSAR	752127	ZDOBSAPHUUUOHX-OSYLJGHBSA-N
canSAR	2959399	BTSUNSRQYLVGIS-ADTYUTHVSA-N
canSAR	770107	PROGRNRRJJYCNX-UHFFFAOYSA-N
canSAR	2945470	JQNINBDKGLWYMU-GEAQBIRJSA-N
canSAR	3150984	VSZRYLHBOKTNBO-UHFFFAOYSA-N
canSAR	750570	CGECJCJUHCZZGO-UHFFFAOYSA-N
canSAR	788421	OTKTZEZTFCAULO-DEOSSOPVSA-N
canSAR	753008	XMNLWOQHMQRHDV-UHFFFAOYSA-N
canSAR	516958	BATCTBJIJJEPHM-UHFFFAOYSA-N
canSAR	866964	AYUNIORJHRXIBJ-TXHRRWQRSA-N
canSAR	937342	QCQQONWEDCOTBV-UHFFFAOYSA-N
canSAR	3194987	BSISGUIVBKDTQO-QIKYYPRYSA-N
canSAR	788372	XUYMIRYNRKXKOR-HMHJJOSWSA-N
canSAR	3313089	CYPYTURSJDMMMP-WVCUSYJESA-N
canSAR	296713	XUSDVLHKNBOGJY-UHFFFAOYSA-N
canSAR	1052019	JYZJYKOZGGEXSX-UHFFFAOYSA-N
canSAR	1877870	WUJVPELCYCESAP-UHFFFAOYSA-N
canSAR	2977301	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N
canSAR	861456	NBTNHSGBRGTFJS-UHFFFAOYSA-N
canSAR	2888176	SOXNKJCQBRQUMS-UHFFFAOYSA-N
canSAR	160497	KYWWJENKIMRJBI-UHFFFAOYSA-N
