inchikey	property	ordinal	value	source_db	source
LQHDIGAYVSAVRJ-UHFFFAOYSA-N	control_compound	0	(S)-6-(4-(4-(2-(2,4-dimethyl-3-oxopiperazin-1-yl)ethoxy)phenyl)piperidin-1-yl)-2-methyl-[1,2,4]triazolo[4,3-b]pyridazin-3(2H)-one	Chemical Probes Portal	
BWBUPDTUXQDHSX-AWEZNQCLSA-N	control_compound	0	CS640s	Chemical Probes Portal	
ZRHWCAFAIHTQKD-QGZVFWFLSA-N	control_compound	0	CANSAR1531928	Chemical Probes Portal	
OBJNFLYHUXWUPF-IZZDOVSWSA-N	control_compound	0	V0G	Chemical Probes Portal	
XVFDNRYZXDHTHT-PXAZEXFGSA-N	control_compound	0	BI-0178	Chemical Probes Portal	
RVOZYMPVGIVNJX-UHFFFAOYSA-N	control_compound	0	BAY-7424	Chemical Probes Portal	
TVMJSGGZULFVCZ-XMMPIXPASA-N	control_compound	0	BIBO3457	Chemical Probes Portal	
ZAGCLFXBHOXXEN-JPTLTNPLSA-N	control_compound	0	cis-VZ185	Chemical Probes Portal	
MSFPLTWUFWOKBX-IFXJQAMLSA-O	control_compound	0	D-Moses	Chemical Probes Portal	
ZRPZPNYZFSJUPA-UHFFFAOYSA-N	control_compound	0	R-atropisomer	Chemical Probes Portal	
NDRFFOKFYGUOKD-ZDUSSCGKSA-N	control_compound	0	CANSAR4120193	Chemical Probes Portal	
PJKRNPPUSQSCHN-UHFFFAOYSA-N	control_compound	0	BI-0337	Chemical Probes Portal	
QGPXEIMWTKWHMH-DEOSSOPVSA-N	control_compound	0	BI 0153	Chemical Probes Portal	
AAHNBILIYONQLX-UHFFFAOYSA-N	control_compound	0	GSM-NC	Chemical Probes Portal	
FRPJGTNLZNXQEX-UHFFFAOYSA-N	control_compound	0	A-769	Chemical Probes Portal	
WDZVWDXOIGQJIO-UHFFFAOYSA-N	control_compound	0	GSI-NC	Chemical Probes Portal	
LWJGMYMNSNVCEM-UHFFFAOYSA-N	control_compound	0	PF-04475866	Chemical Probes Portal	
BEBDKSYNJJVZSO-SECBINFHSA-N	control_compound	0	CANSAR3880517	Chemical Probes Portal	
SWOIFXHMBKFCRM-UHFFFAOYSA-N	control_compound	0	CANSAR3935391	Chemical Probes Portal	
FOECKIWHCOYYFL-UHFFFAOYSA-N	control_compound	0	PPTN-NC	Chemical Probes Portal	
UNSHMXUHOHBLIQ-UHFFFAOYSA-N	control_compound	0	BAY-771	Chemical Probes Portal	
ZGBAPSHWPBXEKN-OPHFCASCSA-N	control_compound	0	BAY-694	Chemical Probes Portal	
KIWKRCCIHSGWQS-VIFPVBQESA-N	control_compound	0	JYQ88	Chemical Probes Portal	
LZSPYTNDRPEZBK-OXYJHPMESA-N	control_compound	0	BAY-173	Chemical Probes Portal	
CYFBRQHYEQKYHH-MRXNPFEDSA-N	control_compound	0	CANSAR3597779	Chemical Probes Portal	
CSBKUBOVPUXFLO-MAVVKCOWSA-N	control_compound	0	A-1210227	Chemical Probes Portal	
BRJXJOWXAFLRTE-OAQYLSRUSA-N	control_compound	0	CANSAR3872900	Chemical Probes Portal	
HDZWHJYZJWLTAG-UHFFFAOYSA-N	control_compound	0	SR10389	Chemical Probes Portal	
WCPXAGKUVIPMIY-TZQLILQPSA-N	control_compound	0	CANSAR3622970	Chemical Probes Portal	
VHSIAYLBCLUAFT-UHFFFAOYSA-N	control_compound	0	MRL-CB1-NC	Chemical Probes Portal	
AZXOTZCWQDJCLY-SJCJKPOMSA-N	control_compound	0	BAY-2297	Chemical Probes Portal	
APLVGTKXOIMODQ-IBGZPJMESA-N	control_compound	0	FHT-5908	Chemical Probes Portal	
TXIYVFVMXNFNRX-UHFFFAOYSA-N	control_compound	0	CANSAR3550556	Chemical Probes Portal	
MAHFVAHPQSLLJF-IBGZPJMESA-N	control_compound	0	TP-030n	Chemical Probes Portal	
