target_key	source_db	property	ordinal	value
P03372	Chemical Probes Portal	class	0	Other
P03372	Chemical Probes Portal	class	1	NHR
P03372	Chemical Probes Portal	subClass	0	Hormone Receptor
P03372	Chemical Probes Portal	subClass	1	Estrogen Receptor
P03372	Chemical Probes Portal	subClass	2	NR3 Subfamily
P03372	Chemical Probes Portal	subClass	3	Estrogen receptor
P03951	Chemical Probes Portal	class	0	Enzyme
P03951	Chemical Probes Portal	subClass	0	Peptidase S1 family
P04035	Chemical Probes Portal	class	0	Lipid metabolism
P04035	Chemical Probes Portal	subClass	0	Sterol biosynthesis
P04150	Chemical Probes Portal	class	0	NHR
P04150	Chemical Probes Portal	class	1	Nuclear Receptor
P04150	Chemical Probes Portal	subClass	0	Subfamily 3
P04150	Chemical Probes Portal	subClass	1	Nuclear hormone receptor
P04626	Chemical Probes Portal	class	0	Kinase
P04626	Chemical Probes Portal	subClass	0	RTK
P04629	Chemical Probes Portal	class	0	Kinase
P04629	Chemical Probes Portal	subClass	0	TK
P04629	Chemical Probes Portal	subClass	1	Tyrosin kinase
P04629	Chemical Probes Portal	subClass	2	Tyr kinase
P06213	Chemical Probes Portal	class	0	Kinase
P06213	Chemical Probes Portal	subClass	0	TK
P06239	Chemical Probes Portal	class	0	Kinase
P06239	Chemical Probes Portal	subClass	0	TK
P06241	Chemical Probes Portal	class	0	Kinase
P06241	Chemical Probes Portal	subClass	0	TK
P06493	Chemical Probes Portal	class	0	Kinase
P06493	Chemical Probes Portal	subClass	0	CMGC
P06576	Chemical Probes Portal	class	0	Enzyme
P07195	Chemical Probes Portal	class	0	Enzyme
P07195	Chemical Probes Portal	subClass	0	LDH family
P07333	Chemical Probes Portal	class	0	Kinase
P07333	Chemical Probes Portal	subClass	0	TK
P07437	Chemical Probes Portal	class	0	Enzyme
P07437	Chemical Probes Portal	subClass	0	GTPase
P07550	Chemical Probes Portal	class	0	GPCR
P07550	Chemical Probes Portal	subClass	0	Adrenoceptor
P07711	Chemical Probes Portal	class	0	Protein metabolism
P07711	Chemical Probes Portal	class	1	Enzyme
P07711	Chemical Probes Portal	subClass	0	Protease
P07711	Chemical Probes Portal	subClass	1	Cysteine protease
P07900	Chemical Probes Portal	class	0	Other post-translational modification
P07900	Chemical Probes Portal	subClass	0	Chaperone
P07947	Chemical Probes Portal	class	0	Kinase
P07947	Chemical Probes Portal	subClass	0	TK
P07948	Chemical Probes Portal	class	0	Kinase
P07948	Chemical Probes Portal	subClass	0	TK
P07949	Chemical Probes Portal	class	0	Kinase
P07949	Chemical Probes Portal	subClass	0	Tyrosine Kinase
P08069	Chemical Probes Portal	class	0	Kinase
P08069	Chemical Probes Portal	subClass	0	TK
P08172	Chemical Probes Portal	class	0	GPCR
P08172	Chemical Probes Portal	subClass	0	Muscarinic Receptor
P08172	Chemical Probes Portal	subClass	1	Muscarinic receptor
P08173	Chemical Probes Portal	class	0	GPCR
P08173	Chemical Probes Portal	subClass	0	Muscarinic receptor
P08235	Chemical Probes Portal	class	0	NHR
P08235	Chemical Probes Portal	subClass	0	Mineralocorticoid receptor
P08238	Chemical Probes Portal	class	0	Other post-translational modification
P08238	Chemical Probes Portal	subClass	0	Chaperone
P08246	Chemical Probes Portal	class	0	Enzyme
P08246	Chemical Probes Portal	subClass	0	Protease
P08246	Chemical Probes Portal	subClass	1	peptidase S1 family
P08581	Chemical Probes Portal	class	0	Kinase
P08581	Chemical Probes Portal	subClass	0	TK
P08581	Chemical Probes Portal	subClass	1	Tyrosine kinase
P08709	Chemical Probes Portal	class	0	Enzyme
P08709	Chemical Probes Portal	subClass	0	Peptidase
P08922	Chemical Probes Portal	class	0	Kinase
P08922	Chemical Probes Portal	subClass	0	TK
P09619	Chemical Probes Portal	class	0	Kinase
P09619	Chemical Probes Portal	class	1	Protein kinase
P09619	Chemical Probes Portal	subClass	0	TK
P09874	Chemical Probes Portal	class	0	Other post-translational modification
P09874	Chemical Probes Portal	subClass	0	PARP
P09936	Chemical Probes Portal	class	0	Other
P09936	Chemical Probes Portal	class	1	Enzyme
P09936	Chemical Probes Portal	subClass	0	Peptidase C12 family
P09936	Chemical Probes Portal	subClass	1	Peptidase
P09960	Chemical Probes Portal	class	0	Other
P09960	Chemical Probes Portal	subClass	0	Hydrolase
P10275	Chemical Probes Portal	class	0	NHR
P10275	Chemical Probes Portal	class	1	Transcription factor
P10275	Chemical Probes Portal	subClass	0	Dihydrotestosterone receptor
P10275	Chemical Probes Portal	subClass	1	Androgen receptor
P10275	Chemical Probes Portal	subClass	2	Nuclear Hormone Receptor
P10415	Chemical Probes Portal	class	0	Enzyme
P10415	Chemical Probes Portal	class	1	Other
P10415	Chemical Probes Portal	subClass	0	Apoptosis Regulator
P10415	Chemical Probes Portal	subClass	1	Protein Phosphatase
P10636	Chemical Probes Portal	class	0	Extracellular protein
P10636	Chemical Probes Portal	subClass	0	Microtubule Associated Protein
P10721	Chemical Probes Portal	class	0	Protein kinase
P10721	Chemical Probes Portal	class	1	Kinase
P10721	Chemical Probes Portal	subClass	0	TK
P10721	Chemical Probes Portal	subClass	1	Tyr kinase
P11166	Chemical Probes Portal	class	0	Transporter
P11166	Chemical Probes Portal	subClass	0	Solute Carrier
P11229	Chemical Probes Portal	class	0	GPCR
P11229	Chemical Probes Portal	subClass	0	Acetylcholine Receptor
P11309	Chemical Probes Portal	class	0	Kinase
P11309	Chemical Probes Portal	subClass	0	CAMK
P11362	Chemical Probes Portal	class	0	Kinase
P11362	Chemical Probes Portal	subClass	0	TK
P11362	Chemical Probes Portal	subClass	1	Tyrosine kinase
P11586	Chemical Probes Portal	class	0	Enzyme
P11586	Chemical Probes Portal	subClass	0	Dehydrogenase
P11597	Chemical Probes Portal	class	0	Transporter
P11597	Chemical Probes Portal	subClass	0	BPI/LBP family
P11802	Chemical Probes Portal	class	0	Kinase
P11802	Chemical Probes Portal	subClass	0	CMGC
P12931	Chemical Probes Portal	class	0	Kinase
P12931	Chemical Probes Portal	class	1	Protein kinase
P12931	Chemical Probes Portal	subClass	0	TK
P13569	Chemical Probes Portal	class	0	Structural protein
P13569	Chemical Probes Portal	class	1	Ion Channel
P13569	Chemical Probes Portal	subClass	0	ABCC
P13569	Chemical Probes Portal	subClass	1	Conductance Regulator
P13995	Chemical Probes Portal	class	0	Enzyme
P13995	Chemical Probes Portal	subClass	0	Dehydrogenase
P14174	Chemical Probes Portal	class	0	Other post-translational modification
P14174	Chemical Probes Portal	subClass	0	Tautomerase
P14616	Chemical Probes Portal	class	0	Kinase
P14616	Chemical Probes Portal	subClass	0	TK
P14902	Chemical Probes Portal	class	0	Enzyme
P14902	Chemical Probes Portal	subClass	0	Dioxygenase
P15056	Chemical Probes Portal	class	0	Kinase
P15056	Chemical Probes Portal	subClass	0	TKL
P15170	Chemical Probes Portal	class	0	Other
P15170	Chemical Probes Portal	class	1	Transcription factor
P15170	Chemical Probes Portal	class	2	Translation Termination Factor
P15170	Chemical Probes Portal	subClass	0	Translation Termination Factor
P16234	Chemical Probes Portal	class	0	Kinase
P16234	Chemical Probes Portal	subClass	0	TK
P17706	Chemical Probes Portal	class	0	Enzyme
P17706	Chemical Probes Portal	subClass	0	Phosphatase
P17948	Chemical Probes Portal	class	0	Kinase
P17948	Chemical Probes Portal	subClass	0	Tyrosine kinase
P18031	Chemical Probes Portal	class	0	Enzyme
P18031	Chemical Probes Portal	subClass	0	Phosphatase
P18089	Chemical Probes Portal	class	0	GPCR
P18089	Chemical Probes Portal	subClass	0	Adrenergic receptor
P19099	Chemical Probes Portal	class	0	Enzyme
P19099	Chemical Probes Portal	subClass	0	B
P19634	Chemical Probes Portal	class	0	Transporter
P19634	Chemical Probes Portal	class	1	Ion Channel
P19634	Chemical Probes Portal	subClass	0	Solute Carrier
P19634	Chemical Probes Portal	subClass	1	Cation Proton Antiporter
P19784	Chemical Probes Portal	class	0	Kinase
P19784	Chemical Probes Portal	subClass	0	Ser/Thr kinase
P19784	Chemical Probes Portal	subClass	1	CMGC
P19793	Chemical Probes Portal	class	0	NHR
P19793	Chemical Probes Portal	subClass	0	Retinoic acid receptor
P20292	Chemical Probes Portal	class	0	Enzyme
P20292	Chemical Probes Portal	class	1	Membrane protein
P20292	Chemical Probes Portal	subClass	0	5-lipoxygenase
P20292	Chemical Probes Portal	subClass	1	Five-Lipoxygenase Activating Protein
P20309	Chemical Probes Portal	class	0	GPCR
P20309	Chemical Probes Portal	subClass	0	Muscarinic Receptor
