inchikey	organism	dose_value	dose_unit	route	dose_raw	source_db	source
SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	1	mg/kg	IV	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	Chemical Probes Portal	
SEDFZSHSBUXKAC-NIYFSFCBSA-N	Other	5	mg/kg	PO	1.0 mg/Kg IV, 5.0 mg/Kg PO (M), 0.5 mg/Kg IV, 1.0 mg/Kg PO (D), 1.0 mg/Kg IV, 5.0 mg/Kg PO (R)	Chemical Probes Portal	
ZOPNBMMVVZRSGH-NRFANRHFSA-N	Other				0.8 (M), 0.5 (R) 0.5 (D) 0.5 (C) mg/Kg IV, 5 (M), 0.5 (R) 2 (D) 0.5 (C) mg/Kg PO	Chemical Probes Portal	
BWYBBMQLUKXECQ-GIVPXCGWSA-N	Other	3	mg/kg		1-2 (IV), 2-4 (PO) mg/Kg, Reviewer Suggest 3-30 mg/Kg	Chemical Probes Portal	
CVWXJKQAOSCOAB-UHFFFAOYSA-N	Mouse	10	mg/mL		10 mg/mL	Chemical Probes Portal	
VRVJKILQRBSEAG-LFPIHBKWSA-N	Mouse	500	mg/kg		50, 100, 200, 500 mg/kg	Chemical Probes Portal	
UQRCJCNVNUFYDX-UHFFFAOYSA-N	Mouse	50	mg/kg		50-200 mg/Kg	Chemical Probes Portal	
LWXLECMNBTVASW-UHFFFAOYSA-N	Other	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	Chemical Probes Portal	
LWXLECMNBTVASW-UHFFFAOYSA-N	Other	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	Chemical Probes Portal	
AILRADAXUVEEIR-UHFFFAOYSA-N	Other	10	mg/kg		3, 10 mg/Kg	Chemical Probes Portal	
HUFOZJXAKZVRNJ-UHFFFAOYSA-N	Mouse	3	mg/kg		3-100 mg/Kg	Chemical Probes Portal	
GHVMTHKJUAOZJP-CGTJXYLNSA-N	Other	100	mg/kg		100 mg/Kg	Chemical Probes Portal	
ZEGMEJVULDALSH-NSHDSACASA-N	Other				0.1, 1, 3 (IV) mg/Kg, 0.3, 3, 10 (PO) mg/Kg	Chemical Probes Portal	
SNCRCEGCQVMUBS-DNVCBOLYSA-N	Rat	10	mg/kg		10 mg/kg	Chemical Probes Portal	
ORDHXXHTBUZRCN-NTEUORMPSA-N	Rat	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
ORDHXXHTBUZRCN-NTEUORMPSA-N	Rat	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
ORDHXXHTBUZRCN-NTEUORMPSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
ORDHXXHTBUZRCN-NTEUORMPSA-N	Mouse	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
ORDHXXHTBUZRCN-NTEUORMPSA-N	Dog	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
ORDHXXHTBUZRCN-NTEUORMPSA-N	Dog	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
ORDHXXHTBUZRCN-NTEUORMPSA-N	Monkey (Rheus)	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
ORDHXXHTBUZRCN-NTEUORMPSA-N	Monkey (Rheus)	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Rat	0.5	mg/kg		0.5 mg/kg	Chemical Probes Portal	
CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Rat	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Dog	0.5	mg/kg		0.5 mg/Kg	Chemical Probes Portal	
CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Dog	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Monkey (Cynomolgus)	0.5	mg/kg		0.5 mg/Kg	Chemical Probes Portal	
CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	Monkey (Cynomolgus)	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
XPLWBHWPOUEOSJ-GSZYCOFVSA-N	Rat	0.5	mg/kg		0.5 mg/Kg	Chemical Probes Portal	
XPLWBHWPOUEOSJ-GSZYCOFVSA-N	Rat	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
XPLWBHWPOUEOSJ-GSZYCOFVSA-N	Monkey (Cynomolgus)	0.5	mg/kg		0.5 mg/Kg	Chemical Probes Portal	
XPLWBHWPOUEOSJ-GSZYCOFVSA-N	Monkey (Cynomolgus)	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
YSVWFFNZZGLLAI-XNTOLAJGSA-N	Rat	30	nM/kg		30 nM/kg	Chemical Probes Portal	
JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	3	mg/kg	PO	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	Chemical Probes Portal	
JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	10	mg/kg	IV	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	Chemical Probes Portal	
JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	5	mg/kg	PO	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	Chemical Probes Portal	
JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	10	mg/kg	IV	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	Chemical Probes Portal	
JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	0.5	mg/kg	PO	IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	Chemical Probes Portal	
JYTIXGYXBIBOMN-UHFFFAOYSA-N	Other	2	mg/kg		IV: 3 mg/Kg PO: 10 mg/kg (M) IV: 5 mg/kg / PO: 10 mg/kg (R), IV: 0.5 mg/kg / PO: 2 mg/kg (D)	Chemical Probes Portal	
KLHOCHQJHXNKAS-UHFFFAOYSA-N	Mouse	20	mg/kg		20 mg/kg	Chemical Probes Portal	
