inchikey	source_db	property	ordinal	value
AOJJSUZBOXZQNB-TZSSRYMLSA-N	Chemical Probes Portal	published_date	0	2016-12-09
AOJJSUZBOXZQNB-TZSSRYMLSA-N	Chemical Probes Portal	canSAR_ID	0	791569
AOJJSUZBOXZQNB-TZSSRYMLSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/doxorubicin
UHTHHESEBZOYNR-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_cell	0	0
UHTHHESEBZOYNR-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_organism	0	0
UHTHHESEBZOYNR-UHFFFAOYSA-N	Chemical Probes Portal	rating_count	0	0
UHTHHESEBZOYNR-UHFFFAOYSA-N	Chemical Probes Portal	unsuitable	0	Yes
UHTHHESEBZOYNR-UHFFFAOYSA-N	Chemical Probes Portal	pains	0	No
UHTHHESEBZOYNR-UHFFFAOYSA-N	Chemical Probes Portal	toxicophore	0	No
UHTHHESEBZOYNR-UHFFFAOYSA-N	Chemical Probes Portal	published_date	0	2016-12-09
UHTHHESEBZOYNR-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	233726
UHTHHESEBZOYNR-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/vandetanib
RITAVMQDGBJQJZ-FMIVXFBMSA-N	Chemical Probes Portal	rating_in_cell	0	0
RITAVMQDGBJQJZ-FMIVXFBMSA-N	Chemical Probes Portal	rating_in_organism	0	0
RITAVMQDGBJQJZ-FMIVXFBMSA-N	Chemical Probes Portal	rating_count	0	0
RITAVMQDGBJQJZ-FMIVXFBMSA-N	Chemical Probes Portal	unsuitable	0	Yes
RITAVMQDGBJQJZ-FMIVXFBMSA-N	Chemical Probes Portal	pains	0	No
RITAVMQDGBJQJZ-FMIVXFBMSA-N	Chemical Probes Portal	toxicophore	0	No
RITAVMQDGBJQJZ-FMIVXFBMSA-N	Chemical Probes Portal	published_date	0	2016-12-09
RITAVMQDGBJQJZ-FMIVXFBMSA-N	Chemical Probes Portal	canSAR_ID	0	1927385
RITAVMQDGBJQJZ-FMIVXFBMSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/axitinib
UYJNQQDJUOUFQJ-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_cell	0	0
UYJNQQDJUOUFQJ-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_organism	0	0
UYJNQQDJUOUFQJ-UHFFFAOYSA-N	Chemical Probes Portal	rating_count	0	0
UYJNQQDJUOUFQJ-UHFFFAOYSA-N	Chemical Probes Portal	unsuitable	0	Yes
UYJNQQDJUOUFQJ-UHFFFAOYSA-N	Chemical Probes Portal	pains	0	No
UYJNQQDJUOUFQJ-UHFFFAOYSA-N	Chemical Probes Portal	toxicophore	0	No
UYJNQQDJUOUFQJ-UHFFFAOYSA-N	Chemical Probes Portal	published_date	0	2016-12-09
UYJNQQDJUOUFQJ-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	512994
UYJNQQDJUOUFQJ-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/nvp-tae-226
VAARYSWULJUGST-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_cell	0	0
VAARYSWULJUGST-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_organism	0	0
VAARYSWULJUGST-UHFFFAOYSA-N	Chemical Probes Portal	rating_count	0	0
VAARYSWULJUGST-UHFFFAOYSA-N	Chemical Probes Portal	unsuitable	0	Yes
VAARYSWULJUGST-UHFFFAOYSA-N	Chemical Probes Portal	pains	0	No
VAARYSWULJUGST-UHFFFAOYSA-N	Chemical Probes Portal	toxicophore	0	No
VAARYSWULJUGST-UHFFFAOYSA-N	Chemical Probes Portal	published_date	0	2016-12-09
VAARYSWULJUGST-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	158055
VAARYSWULJUGST-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/pd173955
ODPGGGTTYSGTGO-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_cell	0	0
ODPGGGTTYSGTGO-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_organism	0	0
ODPGGGTTYSGTGO-UHFFFAOYSA-N	Chemical Probes Portal	rating_count	0	0
ODPGGGTTYSGTGO-UHFFFAOYSA-N	Chemical Probes Portal	unsuitable	0	Yes
ODPGGGTTYSGTGO-UHFFFAOYSA-N	Chemical Probes Portal	pains	0	No
ODPGGGTTYSGTGO-UHFFFAOYSA-N	Chemical Probes Portal	toxicophore	0	No
ODPGGGTTYSGTGO-UHFFFAOYSA-N	Chemical Probes Portal	published_date	0	2016-12-09
ODPGGGTTYSGTGO-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	764849
ODPGGGTTYSGTGO-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/ast-487
WAEXFXRVDQXREF-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_cell	0	0
WAEXFXRVDQXREF-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_organism	0	0
WAEXFXRVDQXREF-UHFFFAOYSA-N	Chemical Probes Portal	rating_count	0	0
WAEXFXRVDQXREF-UHFFFAOYSA-N	Chemical Probes Portal	unsuitable	0	Yes
WAEXFXRVDQXREF-UHFFFAOYSA-N	Chemical Probes Portal	pains	0	No
WAEXFXRVDQXREF-UHFFFAOYSA-N	Chemical Probes Portal	toxicophore	0	Yes
WAEXFXRVDQXREF-UHFFFAOYSA-N	Chemical Probes Portal	published_date	0	2017-04-10
