inchikey	smiles	chembl_id	name
ANGKOCUUWGHLCE-UHFFFAOYSA-N	C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1	CHEMBL1201027	
ANIKIUAKBPWSRA-UHFFFAOYSA-N	COc1ccc(Cc2ccc(NC(N)=O)cc2)c(F)c1-c1cccc([N+](=O)[O-])c1		
ANJTVLIZGCUXLD-DTWKUNHWSA-N	O=c1cccc2n1C[C@@H]1CNC[C@H]2C1	CHEMBL497939	
ANMLJLFWUCQGKZ-UHFFFAOYSA-N	O=C1OC(OC(=O)c2cccnc2Nc2cccc(C(F)(F)F)c2)c2ccccc21	CHEMBL1081506	
ANNRUWYFVIGKHA-UHFFFAOYSA-N	CCCN(CCC)c1cc(C)nc2c(-c3cnc(N(C)C)cc3C)c(C)nn12	CHEMBL309138	
ANRUJJLGVODXIK-UHFFFAOYSA-N	NCCC(=O)NCCc1c[nH]cn1	CHEMBL1255583	
ANYJUPCHANVRRC-DRGJWEBESA-N	Cn1nnc(N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)Cc2cc3cc(F)c(F)cc3nc2N2CCC[C@@H]2[C@H]2CC[C@H](C(=O)O)CC2)n1		
ANZIISNSHPKVRV-UHFFFAOYSA-N	COc1cc2c(cc1OC)CN(c1cc(N)c3cc(OC)c(OC)cc3n1)CC2	CHEMBL324090	
AOCCBINRVIKJHY-UHFFFAOYSA-N	CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O	CHEMBL460499	
AOJJSUZBOXZQNB-TZSSRYMLSA-N	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1	CHEMBL2145439	
AOJMWYPUZRQUTK-PWRODBHTSA-N	CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2cc(OC)c(C(C)C)cn2)C2CC2)C1	CHEMBL3318943	
AOPOCGPBAIARAV-OTBJXLELSA-N	CC[C@@H](O)/C=C/C=C\C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)O		
AOUZPXZGMZUQQS-YPAWHYETSA-N	CC(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](Cc1ccccc1)C(N)=O		
AOXOYUCWJCCUDO-CMDGGOBGSA-N	O=C(/C=C/c1cccc2ccccc12)NO	CHEMBL245548	
APARDBNFWVLXJI-UHFFFAOYSA-N	COc1cc(CN(CC(=O)NCc2ccccc2Cl)S(=O)(=O)c2ccc(CN3CCN(C)CC3)cc2)ccc1OCC(C)C	CHEMBL447392	
APQPRKLAWCIJEK-UHFFFAOYSA-N	NCCSSCCN	CHEMBL1256388	
APSOPISMEDAYTH-LBPRGKRZSA-N	CNC(=O)Nc1cc(Oc2cncc(OC)c2)c([C@H]2CCCOC2)cn1		
APSUXPSYBJVPPS-YAUKWVCOSA-N	Oc1ccc2c3c1O[C@H]1c4[nH]c5c(c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C[C@@]1(O)[C@H]2Cc3ccc(O)c4c3[C@@]1(CCN2CC1CC1)[C@H]5O4	CHEMBL2374078	
AQCHWTWZEMGIFD-UHFFFAOYSA-N	Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C	CHEMBL878	
AQCULNMHTOBDQM-UHFFFAOYSA-N	CS(=O)(=O)Cc1noc(-c2ccc(C(=O)C(F)(F)F)s2)n1	CHEMBL512516	
AQFFXPQJLZFABJ-UHFFFAOYSA-N	CC(C)Oc1ccc2c(=O)c3cc(C(=O)O)ccc3oc2c1	CHEMBL1317823	
AQGNHMOJWBZFQQ-UHFFFAOYSA-N	Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1	CHEMBL412142	
AQHHHDLHHXJYJD-UHFFFAOYSA-N	CC(C)NCC(O)COc1cccc2ccccc12	CHEMBL1671	
AQHLKTAXSUKFMQ-UHFFFAOYSA-N	Cc1cc(Oc2ccc(C(=O)O)c(OCc3ccccc3)n2)cc(C)c1Cl		
AQMPIDSGLFVVPL-UHFFFAOYSA-N	COC(=O)CN1CN(c2ccccc2)C2(CCN(Cc3cccc4ccccc34)CC2)C1=O	CHEMBL2088036	
AQTPWCUIYUOEMG-INIZCTEOSA-N	O=C(C1CC1)N1CC[C@@H](Cc2n[nH]c(=O)n2-c2ccc(-c3ccc4occc4c3)cc2)C1	CHEMBL3646801	
ARAIBEBZBOPLMB-UFGQHTETSA-N	CC(=O)N[C@@H]1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO	CHEMBL222813	
ARJCBSRIPGJMAD-LLVKDONJSA-N	NC(=O)c1noc([C@H](CCCC2CCCCC2)CC(=O)NO)n1	CHEMBL226630	
ARWMKZDWGIOCEU-AREMUKBSSA-N	CC(=O)N1c2ccc(C3=CCNCC3)cc2N(Cc2ccccc2CO)C[C@@H]1C1CC1		
ASGIQUHBAVIOTI-UHFFFAOYSA-N	CN(CCc1ccc(Cl)c(Cl)c1)CCN1CCCC1	CHEMBL20377	
ASKREEJRSDOYKI-MMZGTNPYSA-N	C/C(=N\OCCO)c1ccc2nnc([C@@H](C)c3c(F)cc4ncccc4c3F)n2n1	CHEMBL3651426	
ASNFTDCKZKHJSW-UHFFFAOYSA-N	NC(Cn1oc(=O)[nH]c1=O)C(=O)O		
ASNFTDCKZKHJSW-UWTATZPHSA-N	N[C@H](Cn1oc(=O)[nH]c1=O)C(=O)O	CHEMBL168279	
ASUHOMGTZLJQAK-UHFFFAOYSA-N	O=C(O)CCCSc1nc2ccccc2n1Cc1cccc2ccccc12		
ASUTZQLVASHGKV-JDFRZJQESA-N	COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2	CHEMBL1555	
ASXGJMSKWNBENU-UHFFFAOYSA-N	CCCN(CCC)C1CCc2cccc(O)c2C1	CHEMBL505765	
ASXVEBPEZMSPHB-YJBOKZPZSA-N	C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)CF	CHEMBL2402203	
ATASNKKKUMVJNW-CYBMUJFWSA-N	C[C@@H](c1c(F)cc2ncccc2c1F)c1cnc2ccc(-c3cnn(CCO)c3)nn12		
ATEBXHFBFRCZMA-VXTBVIBXSA-N	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O	CHEMBL444633	
ATENFOTVOKHAOY-CQSZACIVSA-N	CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3[C@H](C)CO)n1)C2	CHEMBL3954836	
ATHGHQPFGPMSJY-UHFFFAOYSA-N	NCCCCNCCCN	CHEMBL1256356	
ATMHFQDWDFHUDF-TXLWKQMCSA-N	CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)cc1	CHEMBL104954	
ATQMRMGXINTJHV-UHFFFAOYSA-N	Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1	CHEMBL1256869	
ATSUJKLLCSXMLV-BUHFOSPRSA-N	O=C(/C=C/c1ccc(CNCCn2c3ccccc3c3ccccc32)cc1)NO	CHEMBL341601	
