inchikey	smiles	chembl_id	name
MLJVGAYSVYMPSB-MSUKGTQXSA-N	CC1=C(C)C(=O)C(C(C)(C)CC(=O)N(CCCCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)Cc2cccc(-c3ccc(Cl)cc3)c2)=C(C)C1=O		SGC3027
FJBPSCVGHZASPG-LJVHFRCJSA-N	CC1=C(C)C(=O)C(C(C)(C)CC(=O)N(CCCCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@@H]3OC(C)(C)O[C@H]23)Cc2cccc(-c3ccc(Cl)cc3)c2)=C(C)C1=O		SGC3027N
HXKJJIMUMNPQQY-UHFFFAOYSA-N	CNc1cc(Oc2cc(C(=O)Nc3cc(N4CCN(C)CC4)cc(C(F)(F)F)c3)ccc2C)ncn1		TL4-12
NVGROBHDOYRPAN-FPTDNZKUSA-N	CO[C@@H](C)c1c(Nc2ccc([C@H](N(C)C(=O)C3CCS(=O)(=O)CC3)C(F)(F)F)cc2)cnc2cc(Cl)nn12		NVS-MALT1
VKQBTIMLSDGNLG-QHCPKHFHSA-N	O=C(Nc1cnc(Oc2ccc(F)cc2)nc1)N1CCc2ncccc2[C@@H]1c1ccc(F)cc1		BAY-899
BFTKDWYIRJGJCA-CYBMUJFWSA-N	C[C@@H]1CC(O)=Nc2cccc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2N1		CPI-637
OEDSFMUSNZDJFD-UHFFFAOYSA-N	CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cc(F)cc3C)cn(C)c(=O)c2[nH]1		ABBV-744
WRUWGLUCNBMGPS-UHFFFAOYSA-N	CCn1cc(-c2cccc(C(F)(F)F)c2)c2sc(C(N)=NC3CCS(=O)(=O)CC3)cc2c1=O		I-BRD9 (GSK602)
QXURFIGBRGWPQD-UHFFFAOYSA-N	CN1CCN(c2cnc3c(C4CCN(C(=O)c5ccc(OC(F)(F)F)cc5N)CC4)ncnc3c2)CC1		BAY-885
DNGZBWVQLFNTRT-UHFFFAOYSA-N	Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C(C)(C)C)cc1		BAY-588
RJTJRVASUFIDQM-UHFFFAOYSA-N	N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1		MSD-M1PAM
JYTISQGEFSHUIR-UHFFFAOYSA-N	Cc1c(Nc2ccc(S(=O)(=O)N3CCN(C)CC3)cc2F)nc2ccc(-c3cnn(C4CC4)c3)cn2c1=O		NVS-BPTF-1
BFSKPRUNBBMNCF-UHFFFAOYSA-N	Cc1c(Nc2ccc(S(=O)(=O)N3CCN(C)CC3)cc2F)nc2ccc(Nc3cnn(C4CC4)c3)cn2c1=O		NVS-BPTF-C
IQCHVVCQDZOLHI-UHFFFAOYSA-N	COCCN1CCC(c2cc(CN(C)C(=O)c3cccc(Oc4ccccc4)c3)ccn2)CC1		TP-064N
VZAFGXCWAWRULT-UONOGXRCSA-N	CN1C[C@H](Nc2cnn(C)c(=O)c2Br)C[C@H](c2ccccc2)C1		GSK4027
GNAKYUUZAXUXKB-UHFFFAOYSA-N	CC(C)Oc1ccc(-c2c[nH]cc2CN(C)CCO)cc1		MS094
SOYCFODXNRVBTI-UHFFFAOYSA-N	CN(C)CC#Cc1ccc(OCCCc2sc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)c(F)c1		A-1155463
CSBKUBOVPUXFLO-MAVVKCOWSA-N	CO[C@H]1CC[C@H](CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cnc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1		A-1211212
KDOQEEMQPHIANX-NFBKMPQASA-N	COc1ccc2c(c1)O[C@H](C[C@H]2NC(C1(CC1)c1ccc2c(c1)OC(O2)(F)F)=O)c1ccc(c(c1)OC)OC		A-1596584
LQPGVGSKBNXQDU-UHFFFAOYSA-N	CCOC(=O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2cccnc2)n1		GSK-J5
QQBGNWWJANJWNY-UHFFFAOYSA-N	CCCOc1ccn2c(C(C)=O)cc(-c3cccc(OC)c3)c2c1		GSK8573
YDPMMWAOCCOULO-JBRSBNLGSA-N	CO[C@H]1CNC[C@@H](OCC2CCC(F)(F)CC2)[C@@H]1Nc1ncc(-c2cncc(C)c2)c2cc(C)c(=O)[nH]c12		GSK8814
WOAOENGFAAUUGT-UHFFFAOYSA-N	Cc1cc(CN)cc(C)c1-c1ncn(C)c1-c1ccnc2cc(F)ccc12		BI-9321
SFZHMKDAVPIXRB-UHFFFAOYSA-N	Cc1cc(CN)cc(C)c1-c1ncn(C)c1-c1cncn1C		BI-9466
NIPTUMFVYBXSMZ-JOCHJYFZSA-N	Cc1cc(C)cc([C@@H]2c3cc(C)ccc3NC(=O)CN2C(=O)c2ccc(Br)s2)c1		SGC6870
NIPTUMFVYBXSMZ-QFIPXVFZSA-N	Cc1cc(C)cc([C@H]2c3cc(C)ccc3NC(=O)CN2C(=O)c2ccc(Br)s2)c1		SGC6870N
FKMVYPCBLWYNAV-UHFFFAOYSA-N	Cl.O=C(O)c1cc(-c2ccc(C3CCNCC3)cc2)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2c1		PPTN
JNAABFZPXJJMPX-UHFFFAOYSA-N	Cc1c(Oc2c(F)cccc2F)c(OC(C)C)nn1-c1ncc(C2CC2)cc1F		IPP/CNRS-A017
VUOYAALVGSMUHC-UHFFFAOYSA-N	O=C(NCc1ccc(F)cc1)C1CCN(S(=O)(=O)c2cc(Cl)cc(Cl)c2)CC1		BI01383298
ZRTFTZCKJUNZIU-HNNXBMFYSA-N	C[C@H]1CCCN1Cc1nc2cc(NC(=O)c3ccc4cnccc4c3)ccc2[nH]1		NVS-MLLT-1
QDGVJMITKNOVTP-UHFFFAOYSA-N	O=C(NCc1ccccc1)c1ccc(S(=O)(=O)NCc2ccccc2)cc1		TH-263
KMKKFZCVBRAWNX-GSAMTNRBSA-N	CCCCN(C(CN1C[C@@H](C2=CC(OC)=C3OCOC3=C2)[C@H](C(O)=O)[C@H]1CC(C)(CCC)C)=O)CCCC.Cl		A-545
OAEWNSKRLBVVBV-OBTVHEKISA-N	CCCCN(CCCC)C(=O)CN1C[C@@H](c2cc(OC)c3c(c2)OCO3)[C@H](C(=O)O)[C@H]1CC(C)(C)CCC		ABT-100
AZFUVPBLKQGSRI-UHFFFAOYSA-N	[H]Cl.[H]Cl.[H]Cl.N1(CCN(C2=NC=CC=C2)CC1)CC3=NC4=CC=CC=C4N3		ABT-724
FWONKSVKZWQNPN-RTWAWAEBSA-N	O=C(N1CCS(=O)(=O)CC1)N1C[C@@](S)(c2ccc(OC(F)(F)F)cc2)C[C@@](S)(c2nc(C3CC3)no2)C1		BAY-386
QKVFMAAIXZONRN-UHFFFAOYSA-N	CC1=C(C#N)C(c2ccc3[nH]nc(C)c3c2)C(C#N)=C(C)N1		BAY-474
YNFDIGJKJPNFFD-SJORKVTESA-N	CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1		BI 99179
QMHRLXNEGYTSRV-UHFFFAOYSA-N	CC(=O)N1CCC(c2ccc(C(=O)NC(=N)N)cc2C(F)(F)F)CC1		BI-9627
VHSIAYLBCLUAFT-UHFFFAOYSA-N	CC(=O)Nc1c(C(C)=O)c(=O)n(C)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12		MRL-650
JTCAGRAKUAAYDY-OAHLLOKOSA-N	CN([C@@H]1CCc2c(CC(=O)O)c3ccccc3n2C1)S(=O)(=O)c1ccc(F)cc1		CRTH2
RAXZSEGXMBWYQK-SNVBAGLBSA-N	C[C@@H](NC(=O)Nc1cc2[nH]ncc2c(CO)n1)c1ccccc1		ERKi
PIRKVXKOMRREFI-FVGYRXGTSA-N	C[C@@H](c1cccc(CN)c1)n1cc(Cl)cc(C(N)=O)c1=N.Cl		(R)-9s
GBAKVEWPYUIGHN-UHFFFAOYSA-N	O=c1nc(-c2ccccn2)sc2ccccc12		BTZO-1
RPMGXDCRCWWCRY-SNVBAGLBSA-N	CCNC(=O)c1cc2c(N3CCOC[C@H]3C)ccnc2[nH]1		BAY-707
BNTAEJNPQLMGDJ-NSHDSACASA-N	Cc1nc(N2CC[C@H](O)C2)ncc1-c1cc(C(F)(F)F)cc2[nH]ncc12		TP-004
BXNMZRPTQFVRFA-QGZVFWFLSA-N	C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cnc2ccccc2c1		PF-05105679
HZRJHVDNTDBTOZ-QGZVFWFLSA-N	C[C@H](c1ccnc(Nc2nc3ccc(-c4cc(N(C)C)ncn4)cc3[nH]2)c1)N1CCN(C(=O)CC(F)(F)F)CC1		BAY-985
BATCTBJIJJEPHM-UHFFFAOYSA-N	O=C(Nc1cccnn1)N1CCC(=Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1		PF-04457845
BKLJDIJJOOQUFG-UHFFFAOYSA-N	Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cc1		BAY-876
MMPAULQSJLVKHP-UHFFFAOYSA-N	Clc1cccc(-c2nnnn2Cc2cccnc2)c1Cl		A-079
